ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,log2err
hsa00830,Retinol metabolism,7,-0.708312413803003,-1.8413881134382,0.00592111759011868,0.246180283897171,0.147956860102178,19,"tags=86%, list=29%, signal=68%",131/130/124/125/126/127,0.407017918923954
hsa04973,Carbohydrate digestion and absorption,6,0.724469580551928,1.66957852439688,0.0216022098576186,0.246180283897171,0.147956860102178,5,"tags=33%, list=8%, signal=34%",3099/92579,0.352487857583619
hsa04930,Type II diabetes mellitus,7,0.670817590267402,1.60469436234629,0.0199687203297047,0.246180283897171,0.147956860102178,4,"tags=29%, list=6%, signal=30%",3099/5315,0.352487857583619
hsa00350,Tyrosine metabolism,10,-0.552202874855574,-1.59766870719778,0.0302991118642672,0.246180283897171,0.147956860102178,6,"tags=40%, list=9%, signal=43%",125/222/126/127,0.352487857583619
hsa00980,Metabolism of xenobiotics by cytochrome P450,10,-0.552202874855574,-1.59766870719778,0.0302991118642672,0.246180283897171,0.147956860102178,6,"tags=40%, list=9%, signal=43%",125/222/126/127,0.352487857583619
hsa00982,Drug metabolism - cytochrome P450,10,-0.552202874855574,-1.59766870719778,0.0302991118642672,0.246180283897171,0.147956860102178,6,"tags=40%, list=9%, signal=43%",125/222/126/127,0.352487857583619
hsa00500,Starch and sucrose metabolism,10,0.599879734613222,1.59308794475187,0.0203667527555995,0.246180283897171,0.147956860102178,13,"tags=40%, list=20%, signal=38%",3099/92579/2821/5236,0.352487857583619
hsa05131,Shigellosis,4,0.776179044681934,1.56952294896819,0.0229071999243903,0.246180283897171,0.147956860102178,1,"tags=25%, list=2%, signal=26%",3099,0.352487857583619
hsa01230,Biosynthesis of amino acids,19,0.459579025437028,1.52053819873054,0.0604026845637584,0.436241610738255,0.262185654955655,23,"tags=63%, list=35%, signal=58%",5214/5315/226/2597/2023/387712/2026/7167/5223/5213/5230/441531,0.237793834423688
hsa01200,Carbon metabolism,36,0.409032697828241,1.46318143311198,0.0778145695364238,0.455994897959184,0.274057581933877,25,"tags=50%, list=38%, signal=68%",3099/5214/5315/226/2597/2023/387712/2026/2821/7167/5223/1738/55902/5213/5230/441531/5160/128,0.206587922696891
hsa00520,Amino sugar and nucleotide sugar metabolism,8,0.584474272299394,1.4588406794127,0.0857142857142857,0.455994897959184,0.274057581933877,13,"tags=38%, list=20%, signal=34%",3099/2821/5236,0.204294756516886
hsa01250,Biosynthesis of nucleotide sugars,8,0.584474272299394,1.4588406794127,0.0857142857142857,0.455994897959184,0.274057581933877,13,"tags=38%, list=20%, signal=34%",3099/2821/5236,0.204294756516886
hsa00052,Galactose metabolism,13,0.493471226396041,1.45806393860262,0.0947368421052632,0.455994897959184,0.274057581933877,5,"tags=23%, list=8%, signal=27%",3099/5214/92579,0.191892240384838
hsa04820,Cytoskeleton in muscle cells,3,0.743669634219081,1.36820983521961,0.0982142857142857,0.455994897959184,0.274057581933877,10,"tags=67%, list=15%, signal=59%",2023/2026,0.190023305279108
hsa00071,Fatty acid degradation,12,-0.425283850116952,-1.32217072480591,0.139380530973451,0.503318584070796,0.302499599688881,19,"tags=50%, list=29%, signal=44%",131/130/124/125/126/127,0.176694268938498
hsa04936,Alcoholic liver disease,12,-0.425283850116952,-1.32217072480591,0.139380530973451,0.503318584070796,0.302499599688881,19,"tags=50%, list=29%, signal=44%",131/130/124/125/126/127,0.176694268938498
hsa03018,RNA degradation,6,0.567366880880273,1.30752703108678,0.152603231597846,0.522063687045261,0.313765597657883,10,"tags=50%, list=15%, signal=47%",5214/2023/2026,0.150169802128406
hsa05165,Human papillomavirus infection,1,0.953846153846154,1.27643148187862,0.120582120582121,0.489864864864865,0.294413777303375,4,"tags=100%, list=6%, signal=95%",5315,0.184706471207739
hsa05203,Viral carcinogenesis,1,0.953846153846154,1.27643148187862,0.120582120582121,0.489864864864865,0.294413777303375,4,"tags=100%, list=6%, signal=95%",5315,0.184706471207739
hsa03320,PPAR signaling pathway,2,-0.766828828622396,-1.26344976774208,0.197894736842105,0.591216216216216,0.355326972607521,10,"tags=50%, list=15%, signal=44%",5105,0.142056643575821
hsa04964,Proximal tubule bicarbonate reclamation,2,-0.766828828622396,-1.26344976774208,0.197894736842105,0.591216216216216,0.355326972607521,10,"tags=50%, list=15%, signal=44%",5105,0.142056643575821
hsa05010,Alzheimer disease,1,0.907692307692308,1.21466866823933,0.218295218295218,0.591216216216216,0.355326972607521,7,"tags=100%, list=11%, signal=91%",2597,0.133554954557592
hsa05130,Pathogenic Escherichia coli infection,1,0.907692307692308,1.21466866823933,0.218295218295218,0.591216216216216,0.355326972607521,7,"tags=100%, list=11%, signal=91%",2597,0.133554954557592
hsa05132,Salmonella infection,1,0.907692307692308,1.21466866823933,0.218295218295218,0.591216216216216,0.355326972607521,7,"tags=100%, list=11%, signal=91%",2597,0.133554954557592
hsa04910,Insulin signaling pathway,12,0.406707062140734,1.19509941026384,0.249090909090909,0.616303859964093,0.370404902235096,5,"tags=17%, list=8%, signal=19%",3099/92579,0.114750719227023
hsa04066,HIF-1 signaling pathway,24,0.338881299322888,1.17324360035391,0.235897435897436,0.613333333333333,0.368619585449448,10,"tags=25%, list=15%, signal=33%",3099/5214/226/2597/2023/2026,0.114266502484433
hsa00053,Ascorbate and aldarate metabolism,6,0.5,1.15227648559442,0.303411131059246,0.616303859964093,0.370404902235096,36,"tags=100%, list=55%, signal=50%",224/217/10327/501/219/223,0.101350743797099
hsa00280,"Valine, leucine and isoleucine degradation",6,0.5,1.15227648559442,0.303411131059246,0.616303859964093,0.370404902235096,36,"tags=100%, list=55%, signal=50%",224/1738/217/501/219/223,0.101350743797099
hsa00310,Lysine degradation,6,0.5,1.15227648559442,0.303411131059246,0.616303859964093,0.370404902235096,36,"tags=100%, list=55%, signal=50%",224/1738/217/501/219/223,0.101350743797099
hsa00380,Tryptophan metabolism,6,0.5,1.15227648559442,0.303411131059246,0.616303859964093,0.370404902235096,36,"tags=100%, list=55%, signal=50%",224/1738/217/501/219/223,0.101350743797099
hsa00561,Glycerolipid metabolism,6,0.5,1.15227648559442,0.303411131059246,0.616303859964093,0.370404902235096,36,"tags=100%, list=55%, signal=50%",224/217/10327/501/219/223,0.101350743797099
hsa00230,Purine metabolism,2,0.730848191325852,1.13475977655029,0.296015180265655,0.616303859964093,0.370404902235096,13,"tags=50%, list=20%, signal=41%",5236,0.106323255932708
hsa00630,Glyoxylate and dicarboxylate metabolism,3,0.610431851454794,1.12307780829158,0.326785714285714,0.624737394957983,0.375473542735076,17,"tags=67%, list=26%, signal=52%",1738/55902,0.0965629554309422
hsa00051,Fructose and mannose metabolism,13,0.377826139026066,1.11636634297547,0.314035087719298,0.618553960659224,0.371757235689648,6,"tags=23%, list=9%, signal=26%",3099/5214/226,0.0978773277424561
hsa01240,Biosynthesis of cofactors,5,0.512668626303134,1.09036806554011,0.376146788990826,0.687631578947369,0.413273588435101,18,"tags=60%, list=27%, signal=47%",224/1738/217,0.0899860794997137
