ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,log2err
R-HSA-6798695,Neutrophil degranulation,10,0.698365378451897,1.88378004024965,0.00324180713483825,0.327422520618663,0.179540187984677,15,"tags=60%, list=23%, signal=55%",221/5315/226/2821/5236/5223,0.431707695803346
R-HSA-70171,Glycolysis,27,0.482947292137772,1.70008967154713,0.020552918143535,0.594466631156703,0.325972234612406,21,"tags=52%, list=32%, signal=60%",3099/5214/5315/226/2597/2023/387712/2026/2821/7167/5223/669/5213/5230,0.352487857583619
R-HSA-5365859,RA biosynthesis pathway,3,-0.873015873015873,-1.66055814135772,0.0129856112702582,0.594466631156703,0.325972234612406,12,"tags=100%, list=18%, signal=86%",124/126/127,0.380730400722792
R-HSA-71387,Metabolism of carbohydrates and carbohydrate derivatives,37,0.464885753684028,1.65771789248431,0.0235432329170971,0.594466631156703,0.325972234612406,15,"tags=35%, list=23%, signal=62%",3099/5214/5315/92579/226/2597/2023/387712/2026/2821/5236/7167/5223,0.352487857583619
R-HSA-9006931,Signaling by Nuclear Receptors,9,-0.571345870426056,-1.60706102597971,0.0369920611980391,0.618633139909736,0.339223795672576,13,"tags=56%, list=20%, signal=52%",5161/124/5105/126/127,0.321775918075361
R-HSA-70326,Glucose metabolism,33,0.446537101426224,1.57038406704575,0.0334526634895982,0.618633139909736,0.339223795672576,15,"tags=36%, list=23%, signal=56%",3099/5214/5315/92579/226/2597/2023/387712/2026/2821/7167/5223,0.321775918075361
R-HSA-71384,Ethanol oxidation,11,-0.471685164382136,-1.43525216389798,0.0835266821345708,0.618633139909736,0.339223795672576,19,"tags=55%, list=29%, signal=47%",131/130/124/125/126/127,0.237793834423688
R-HSA-5362517,Signaling by Retinoic Acid,8,-0.519028934012767,-1.41097406379719,0.107758620689655,0.618633139909736,0.339223795672576,13,"tags=50%, list=20%, signal=46%",5161/124/126/127,0.199915231309662
R-HSA-9748784,Drug ADME,2,-0.859375,-1.40908237845202,0.0698151950718686,0.618633139909736,0.339223795672576,12,"tags=100%, list=18%, signal=84%",124/5105,0.245041785430996
R-HSA-211945,Phase I - Functionalization of compounds,12,-0.426115218496114,-1.30393587667544,0.152424942263279,0.646701794170613,0.354615074968065,19,"tags=50%, list=29%, signal=44%",131/130/124/125/126/127,0.172324344900946
