category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Metabolism,Amino acid metabolism,hsa00350,Tyrosine metabolism,6/12,10/66,0.6,3.3,3.69389242802782,0.00148156303589785,0.0088893782153871,0.0088893782153871,222/130/126/127/124/125,6
Metabolism,Xenobiotics biodegradation and metabolism,hsa00980,Metabolism of xenobiotics by cytochrome P450,6/12,10/66,0.6,3.3,3.69389242802782,0.00148156303589785,0.0088893782153871,0.0088893782153871,222/130/126/127/124/125,6
Metabolism,Xenobiotics biodegradation and metabolism,hsa00982,Drug metabolism - cytochrome P450,6/12,10/66,0.6,3.3,3.69389242802782,0.00148156303589785,0.0088893782153871,0.0088893782153871,222/130/126/127/124/125,6
Metabolism,Lipid metabolism,hsa00071,Fatty acid degradation,5/12,12/66,0.416666666666667,2.29166666666667,2.31416657590051,0.0338815420418336,0.121973551350601,0.121973551350601,130/126/127/124/125,5
Human Diseases,Endocrine and metabolic disease,hsa04936,Alcoholic liver disease,5/12,12/66,0.416666666666667,2.29166666666667,2.31416657590051,0.0338815420418336,0.121973551350601,0.121973551350601,130/126/127/124/125,5
Metabolism,Carbohydrate metabolism,hsa00620,Pyruvate metabolism,7/12,29/66,0.241379310344828,1.32758620689655,1.10223491977441,0.214570072520616,0.643710217561848,0.643710217561848,5105/130/126/3948/127/124/125,7
Organismal Systems,Endocrine system,hsa04922,Glucagon signaling pathway,5/12,22/66,0.227272727272727,1.25,0.671854812358212,0.359887618640823,0.846351291195138,0.846351291195138,5105/3948/5224/8789/2645,5
Organismal Systems,Endocrine system,hsa04910,Insulin signaling pathway,3/12,12/66,0.25,1.375,0.671854812358213,0.376156129420061,0.846351291195138,0.846351291195138,5105/8789/2645,3
Metabolism,Carbohydrate metabolism,hsa00030,Pentose phosphate pathway,2/12,11/66,0.181818181818182,1,0,0.643517788240035,1,1,229/8789,2
Metabolism,Carbohydrate metabolism,hsa00051,Fructose and mannose metabolism,2/12,13/66,0.153846153846154,0.846153846153846,-0.28958149517538,0.744521081572025,1,1,229/8789,2
Human Diseases,Cancer: overview,hsa05230,Central carbon metabolism in cancer,3/12,20/66,0.15,0.825,-0.438555490074399,0.780568899640934,1,1,3948/5224/2645,3
Metabolism,Carbohydrate metabolism,hsa00500,Starch and sucrose metabolism,1/12,10/66,0.1,0.55,-0.722718083744574,0.886573841712738,1,1,2645,1
Metabolism,Global and overview maps,hsa01230,Biosynthesis of amino acids,2/12,19/66,0.105263157894737,0.578947368421053,-1.01745375513326,0.922164062514143,1,1,5224/229,2
Metabolism,Carbohydrate metabolism,hsa00052,Galactose metabolism,1/12,13/66,0.0769230769230769,0.423076923076923,-1.08593060690767,0.945807502151642,1,1,2645,1
Metabolism,Global and overview maps,hsa01200,Carbon metabolism,4/12,36/66,0.111111111111111,0.611111111111111,-1.61907355514033,0.974987304292694,1,1,5224/229/8789/2645,4
Environmental Information Processing,Signal transduction,hsa04066,HIF-1 signaling pathway,2/12,24/66,0.0833333333333333,0.458333333333333,-1.55619317997602,0.976885156271007,1,1,3948/229,2
Metabolism,Carbohydrate metabolism,hsa00010,Glycolysis / Gluconeogenesis,12/12,66/66,0.181818181818182,1,,1,1,1,5105/222/130/126/3948/5224/229/127/124/125/8789/2645,12
Metabolism,Global and overview maps,hsa01100,Metabolic pathways,12/12,66/66,0.181818181818182,1,,1,1,1,5105/222/130/126/3948/5224/229/127/124/125/8789/2645,12
