category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Metabolism,Global and overview maps,hsa01230,Biosynthesis of amino acids,9/19,19/66,0.473684210526316,1.64542936288089,2.10359020756278,0.0364952947758098,0.656915305964576,0.656915305964576,2026/2597/5214/226/2023/5315/7167/5223/387712,9
Metabolism,Global and overview maps,hsa01200,Carbon metabolism,13/19,36/66,0.361111111111111,1.25438596491228,1.42846077532315,0.121332064319372,1,1,2821/2026/2597/5214/226/2023/1738/5315/7167/5223/55902/387712/3099,13
Metabolism,Carbohydrate metabolism,hsa00500,Starch and sucrose metabolism,4/19,10/66,0.4,1.38947368421053,0.843662324286922,0.309024006102681,1,1,2821/92579/5236/3099,4
Metabolism,Carbohydrate metabolism,hsa00030,Pentose phosphate pathway,4/19,11/66,0.363636363636364,1.26315789473684,0.603275865021061,0.39155275478831,1,1,2821/5214/226/5236,4
Metabolism,Carbohydrate metabolism,hsa00051,Fructose and mannose metabolism,4/19,13/66,0.307692307692308,1.06882591093117,0.174731119444555,0.553553631837876,1,1,5214/226/7167/3099,4
Metabolism,Carbohydrate metabolism,hsa00052,Galactose metabolism,4/19,13/66,0.307692307692308,1.06882591093117,0.174731119444555,0.553553631837876,1,1,5214/92579/5236/3099,4
Environmental Information Processing,Signal transduction,hsa04066,HIF-1 signaling pathway,6/19,24/66,0.25,0.868421052631579,-0.509861164097576,0.785494855381669,1,1,2026/2597/5214/226/2023/3099,6
Metabolism,Amino acid metabolism,hsa00350,Tyrosine metabolism,2/19,10/66,0.2,0.694736842105263,-0.661248848765426,0.852742820972703,1,1,218/221,2
Metabolism,Xenobiotics biodegradation and metabolism,hsa00980,Metabolism of xenobiotics by cytochrome P450,2/19,10/66,0.2,0.694736842105263,-0.661248848765426,0.852742820972703,1,1,218/221,2
Metabolism,Xenobiotics biodegradation and metabolism,hsa00982,Drug metabolism - cytochrome P450,2/19,10/66,0.2,0.694736842105263,-0.661248848765426,0.852742820972703,1,1,218/221,2
Human Diseases,Cancer: overview,hsa05230,Central carbon metabolism in cancer,4/19,20/66,0.2,0.694736842105263,-1.03179881422102,0.911962591030462,1,1,5214/5315/5223/3099,4
Metabolism,Lipid metabolism,hsa00071,Fatty acid degradation,2/19,12/66,0.166666666666667,0.578947368421053,-1.01745375513326,0.922164062514143,1,1,224/217,2
Organismal Systems,Endocrine system,hsa04910,Insulin signaling pathway,2/19,12/66,0.166666666666667,0.578947368421053,-1.01745375513326,0.922164062514143,1,1,92579/3099,2
Human Diseases,Endocrine and metabolic disease,hsa04936,Alcoholic liver disease,2/19,12/66,0.166666666666667,0.578947368421053,-1.01745375513326,0.922164062514143,1,1,224/217,2
Organismal Systems,Endocrine system,hsa04922,Glucagon signaling pathway,4/19,22/66,0.181818181818182,0.631578947368421,-1.3354080536124,0.952357113837504,1,1,5214/92579/5315/5223,4
Metabolism,Carbohydrate metabolism,hsa00620,Pyruvate metabolism,5/19,29/66,0.172413793103448,0.598911070780399,-1.82021781902768,0.984022948327761,1,1,1738/224/217/5315/55902,5
Metabolism,Carbohydrate metabolism,hsa00010,Glycolysis / Gluconeogenesis,19/19,66/66,0.287878787878788,1,,1,1,1,2821/2026/2597/5214/226/2023/218/1738/92579/224/217/5315/5236/7167/5223/55902/221/387712/3099,19
Metabolism,Global and overview maps,hsa01100,Metabolic pathways,19/19,66/66,0.287878787878788,1,,1,1,1,2821/2026/2597/5214/226/2023/218/1738/92579/224/217/5315/5236/7167/5223/55902/221/387712/3099,19
