claim_id,section,scientific_claim,pmid,pmcid,title,authors,year,journal,doi,open_access,study_type,cancer_type,evidence_strength
C001,Introduction,KIRP is second most common RCC subtype (10-15%),23792563,PMC3771322,Comprehensive molecular characterization of clear cell renal cell carcinoma,TCGA Research Network,2013,Nature,10.1038/nature12222,OA-PMC,Genomic characterization,KIRC,Direct
C002,Introduction,KIRP exhibits distinct genetic landscape (MET mutations chr7/17 gains),30334852,,The molecular taxonomy of primary renal cell carcinoma,TCGA Research Network,2018,Cell Rep,10.1016/j.celrep.2018.03.075,,Genomic characterization,Pan-RCC,Direct
C003,Introduction,Metabolic reprogramming is a hallmark of cancer,36330953,,Tumor glycolysis an essential sweet tooth of tumor cells,Paul S et al.,2022,Semin Cancer Biol,10.1016/j.semcancer.2022.09.006,,Review,Pan-cancer,Direct
C004,Introduction,Warburg effect sustains proliferation via biosynthetic intermediates,25037503,PMC4329227,The pentose phosphate pathway and cancer,Patra KC & Hay N,2014,Trends Biochem Sci,10.1016/j.tibs.2014.06.005,OA-PMC,Review,Pan-cancer,Direct
C005,Introduction,PPP produces NADPH and ribose-5-phosphate for biosynthesis,37612403,PMC11251397,The pentose phosphate pathway in health and disease,TeSlaa T et al.,2023,Nat Metab,10.1038/s42255-023-00859-2,OA-PMC,Review,Pan-cancer,Direct
C006,Introduction,TCA cycle couples metabolism to signaling in cancer,31032474,PMC6485344,Coupling Krebs cycle metabolites to signalling in immunity and cancer,Martinez-Reyes I & Chandel NS,2019,Nat Metab,10.1038/s42255-019-0067-4,OA-PMC,Review,Pan-cancer,Direct
C007,Methods,RCC subtypes have distinct metabolic alterations,38253811,PMC11165401,Metabolic alterations in hereditary and sporadic renal cell carcinoma,Sanchez DJ & Simon MC,2024,Nat Rev Nephrol,10.1038/s41581-024-00834-2,OA-PMC,Review,RCC,Direct
C008,Methods,FH-deficient KIRP type 2 accumulates fumarate,35216667,,"Fumarate inhibits PTEN to promote tumorigenesis",Ge X et al.,2022,Mol Cell,10.1016/j.molcel.2022.03.016,,Primary,KIRP type 2,Direct
C009,Methods,HIF-1 regulates cancer cell metabolism in hypoxia,34071836,PMC8199012,Cancer Cell Metabolism in Hypoxia,Infantino V et al.,2021,Int J Mol Sci,10.3390/ijms22094775,OA-PMC,Review,Pan-cancer,Direct
C010,Methods,limma powers differential expression analyses,25605792,PMC4402510,limma powers differential expression analyses for RNA-sequencing,Ritchie ME et al.,2015,Nucleic Acids Res,10.1093/nar/gkv007,OA-PMC,Methods,NA,Direct
C011,Methods,Xena browser for TCGA/GTEx data,32442275,,The UCSC Xena platform,Goldman MJ et al.,2020,Nat Biotechnol,10.1038/s41587-020-0546-8,,Platform,Pan-cancer,Direct
C012,Discussion,G6PD relevance to kidney biology,27755120,,Glucose-6-phosphate dehydrogenase and the kidney,Spencer NY & Stanton RC,2017,Curr Opin Nephrol Hypertens,10.1097/MNH.0000000000000300,,Review,Kidney,Partial
C013,Discussion,Mitochondrial complex I in kidney cancer metastasis,39143213,PMC11424252,Mitochondrial complex I promotes kidney cancer metastasis,Bezwada D et al.,2024,Nature,10.1038/s41586-024-07777-3,OA-PMC,Primary,RCC,Direct
C014,Discussion,Targeting Krebs-cycle-deficient RCC,36128328,PMC9477221,Targeting Krebs-cycle-deficient RCC with PARP inhibitors,Sulkowski PL et al.,2022,Oncotarget,10.18632/oncotarget.28252,OA-PMC,Primary,RCC,Direct
C015,PrecisionHealth,Precision public health in genomics era,38992127,PMC12017803,Precision public health in the era of genomics and big data,Roberts MC et al.,2024,Nat Med,10.1038/s41591-024-03098-y,OA-PMC,Review,Population,Direct
C016,PrecisionHealth,Amino acid metabolism in cancer,31980738,PMC7000687,Amino acids in cancer,Lieu EL et al.,2020,Exp Mol Med,10.1038/s12276-020-0384-2,OA-PMC,Review,Pan-cancer,Indirect
C017,Methods,Cystine transporter regulates PPP dependency,32231310,PMC7194135,Cystine transporter regulation of pentose phosphate pathway,Koppula P et al.,2020,Nat Cell Biol,10.1038/s41556-020-0497-2,OA-PMC,Primary,Pan-cancer,Partial
