from,to,combined_score,from_name,to_name
9606.ENSP00000205402,9606.ENSP00000229270,708,DLD,TPI1
9606.ENSP00000229239,9606.ENSP00000229270,999,GAPDH,TPI1
9606.ENSP00000229239,9606.ENSP00000234590,995,GAPDH,ENO1
9606.ENSP00000229270,9606.ENSP00000234590,996,TPI1,ENO1
9606.ENSP00000209668,9606.ENSP00000255084,872,ADH1A,ALDH3B2
9606.ENSP00000253382,9606.ENSP00000255084,940,ACSS2,ALDH3B2
9606.ENSP00000209668,9606.ENSP00000261733,913,ADH1A,ALDH2
9606.ENSP00000229270,9606.ENSP00000261733,802,TPI1,ALDH2
9606.ENSP00000253382,9606.ENSP00000261733,944,ACSS2,ALDH2
9606.ENSP00000255084,9606.ENSP00000265512,840,ALDH3B2,ADH4
9606.ENSP00000261733,9606.ENSP00000265512,951,ALDH2,ADH4
9606.ENSP00000223366,9606.ENSP00000269097,922,GCK,G6PC3
9606.ENSP00000223366,9606.ENSP00000290573,809,GCK,HK2
9606.ENSP00000234590,9606.ENSP00000290573,714,ENO1,HK2
9606.ENSP00000269097,9606.ENSP00000290573,834,G6PC3,HK2
9606.ENSP00000229239,9606.ENSP00000297283,798,GAPDH,PGAM2
9606.ENSP00000229270,9606.ENSP00000297283,947,TPI1,PGAM2
9606.ENSP00000234590,9606.ENSP00000297283,976,ENO1,PGAM2
9606.ENSP00000209668,9606.ENSP00000306606,964,ADH1A,ADH1B
9606.ENSP00000255084,9606.ENSP00000306606,884,ALDH3B2,ADH1B
9606.ENSP00000261733,9606.ENSP00000306606,992,ALDH2,ADH1B
9606.ENSP00000234590,9606.ENSP00000319814,945,ENO1,PCK1
9606.ENSP00000253382,9606.ENSP00000319814,876,ACSS2,PCK1
9606.ENSP00000229239,9606.ENSP00000320171,965,GAPDH,PKM
9606.ENSP00000229270,9606.ENSP00000320171,973,TPI1,PKM
9606.ENSP00000234590,9606.ENSP00000320171,994,ENO1,PKM
9606.ENSP00000290573,9606.ENSP00000320171,870,HK2,PKM
9606.ENSP00000297283,9606.ENSP00000320171,870,PGAM2,PKM
9606.ENSP00000319814,9606.ENSP00000320171,954,PCK1,PKM
9606.ENSP00000229239,9606.ENSP00000345555,781,GAPDH,ENO4
9606.ENSP00000229270,9606.ENSP00000345555,911,TPI1,ENO4
9606.ENSP00000297283,9606.ENSP00000345555,840,PGAM2,ENO4
9606.ENSP00000319814,9606.ENSP00000345555,930,PCK1,ENO4
9606.ENSP00000320171,9606.ENSP00000345555,981,PKM,ENO4
9606.ENSP00000209668,9606.ENSP00000345774,821,ADH1A,ALDH3A2
9606.ENSP00000253382,9606.ENSP00000345774,936,ACSS2,ALDH3A2
9606.ENSP00000261733,9606.ENSP00000345774,862,ALDH2,ALDH3A2
9606.ENSP00000265512,9606.ENSP00000345774,821,ADH4,ALDH3A2
9606.ENSP00000306606,9606.ENSP00000345774,948,ADH1B,ALDH3A2
9606.ENSP00000229239,9606.ENSP00000359991,915,GAPDH,PGAM1
9606.ENSP00000229270,9606.ENSP00000359991,975,TPI1,PGAM1
9606.ENSP00000234590,9606.ENSP00000359991,994,ENO1,PGAM1
