gene_id,logFC_main,adj.P.Val_main,regulation_main,logFC_tcga,adj.P.Val_tcga,regulation_tcga
HK2,3.55394642857144,1.4848523220681e-35,Up,3.02083430232558,1.40750503477517e-88,Up
ALDOB,-7.68061408730158,5.65431855140113e-28,Down,-7.9972743863049,2.45719639929801e-76,Down
ADH4,-3.07977182539682,5.39613425283524e-24,Down,-2.91894773901809,2.09789961004876e-69,Down
ADH1C,-3.9462875,1.27707797960267e-18,Down,-6.53730300387597,7.94974336729328e-119,Down
ALDH3B1,1.88786458333334,2.49627142113617e-18,Up,1.77259132751938,3.92502782468917e-40,Up
PFKP,1.79298511904763,3.41759655057331e-18,Up,0.95207122093024,5.35776325597087e-30,NS
ALDH3B2,-3.63326676587301,4.27000778275569e-18,Down,-4.76871416343669,5.55442397967258e-86,Down
PKM,1.83893353174604,1.02328823303176e-17,Up,0.663363210594339,1.78216415568348e-21,NS
G6PC3,1.47676091269842,4.40074993352197e-17,Up,0.673319605943176,7.94171373864949e-34,NS
ADH1B,-4.59645694444445,1.88364578817286e-15,Down,-5.61262361111111,5.25312900242038e-74,Down
ALDOA,1.76057539682542,2.8652213114974e-14,Up,1.03026808785529,3.53984327098537e-40,Up
PGAM2,-3.00005674603174,2.14528160459598e-13,Down,-4.49539257105943,3.15722695912862e-78,Down
GAPDH,1.66745039682542,2.69868670339425e-13,Up,1.14030200258398,1.83289523908953e-61,Up
ENO1,1.57759424603177,4.14881585165804e-13,Up,0.284114179586588,4.15845226506077e-06,NS
GAPDHS,-0.980233779761904,3.12514756221259e-12,NS,0.0834358769379873,0.161918439146227,NS
ENO4,1.51864528769841,1.61536928590232e-11,Up,-0.0987843911498709,0.296466095911217,NS
ENO2,1.56444196428571,3.77759765691245e-09,Up,2.00373570736434,5.97258889964342e-49,Up
ALDH3A2,1.19604960317462,3.77759765691245e-09,Up,-0.604013242894045,1.34270325701068e-15,NS
GPI,1.1943253968254,3.83679937277509e-09,Up,0.423204134366939,5.85641597334629e-12,NS
PGM1,1.1280322420635,5.22462938764648e-09,Up,0.0295275355297093,0.662320142055759,NS
TPI1,1.15001984126987,7.13269970709285e-09,Up,0.481088501292001,4.05657698605959e-19,NS
FBP2,-1.07982008928571,1.81642567067357e-08,Down,-1.54281228197674,1.65920864433664e-42,Down
PCK1,-3.27097371031745,1.97917754530037e-08,Down,-4.15913041020669,1.06857861345116e-40,Down
PGAM1,1.09631944444446,2.3626718518187e-08,Up,0.148741925064613,0.01233976792405,NS
DLD,1.09079216269842,4.66548504947822e-08,Up,-0.209916585917302,0.00175507812660461,NS
PGK2,-0.587661061507936,1.25490737980273e-07,NS,0.0672211644056835,0.0993230514334235,NS
ADH1A,-1.12476309523809,1.46207678287402e-07,Down,-1.87405445736434,5.43527192161438e-48,Down
PDHA2,-0.292931597222222,1.62655550433895e-07,NS,0.0137434027777779,0.295834796353034,NS
ACSS2,1.14971726190477,4.98153974710733e-07,Up,0.625748546511623,1.35177859253085e-11,NS
ALDH2,1.29316914682542,1.04470186495064e-06,Up,0.262009124677032,0.0143134753348507,NS
BPGM,0.77787400793652,2.8839541764918e-06,NS,-0.175561208010336,0.00175507812660461,NS
PFKM,0.934819444444456,4.2406756406807e-06,NS,-0.298882105943145,4.18383015676732e-05,NS
PGK1,0.946190476190493,1.36374013352044e-05,NS,-0.124496124030982,0.0787131029540205,NS
LDHAL6B,-0.894171726190475,1.84919953623392e-05,NS,-0.277012645348837,0.00531734357578551,NS
MINPP1,0.652718750000005,2.90631980782183e-05,NS,-0.519794815891469,5.05258482405928e-20,NS
PGAM4,0.932717559523813,5.02418940606645e-05,NS,-0.473689195736434,1.94864137963052e-05,NS
PDHA1,0.747976190476194,0.000112904672446708,NS,-0.175600775193788,0.00622674314269985,NS
ADH5,0.702500000000004,0.000113616655339726,NS,-0.805310077519373,3.09603966293057e-39,NS
LDHA,0.89166666666668,0.000121589115194714,NS,0.243158914728696,0.00343260884436497,NS
PFKL,-0.484756944444424,0.00013112580804731,NS,-0.325396479328152,7.21688672231253e-08,NS
LDHC,-1.66477068452381,0.000132610593940858,Down,-2.41088059593023,1.76827918075419e-27,Down
GCK,-1.16881964285714,0.000157189360944153,Down,-1.3114105620155,3.03501630585854e-17,Down
ALDH3A1,1.32598804563493,0.00019559127431889,Up,1.23398167797158,1.10370507961795e-13,Up
PDHB,0.562114583333335,0.000604855052013377,NS,-0.511645106589144,7.77695571725803e-24,NS
ADH6,-1.66936061507937,0.000655649622609368,Down,-2.30918758074936,2.06859822040869e-16,Down
DLAT,0.57890426587303,0.00113179827861547,NS,-0.6669409722222,2.12547308288371e-25,NS
HKDC1,0.976378472222226,0.00161325524932349,NS,0.852109092377257,8.24386738401027e-10,NS
LDHB,0.693308531746041,0.00200091320321557,NS,-0.505885820413425,1.90546442669817e-12,NS
AKR1A1,0.623065476190487,0.00232275886036268,NS,-0.0350048449612412,0.691923893004742,NS
GALM,0.589773313492071,0.00447490256967194,NS,-0.811382832687336,2.59705810753952e-19,NS
ADH7,-0.525334871031745,0.00447490256967194,NS,0.182648296188632,0.0314113284894966,NS
ALDH7A1,0.543360615079362,0.00506425171646776,NS,-0.94026203165375,1.41991937339041e-31,NS
G6PC2,-0.58700486111111,0.00881356499585376,NS,-0.547084124677002,1.83986457889635e-06,NS
ALDH1B1,0.649300595238101,0.0257896089071708,NS,-0.825956879844959,1.25760441253413e-09,NS
ALDOC,-0.882486111111112,0.0292354403756841,NS,-1.544794250646,2.61658010971016e-15,Down
FBP1,-0.659330853174589,0.0310745499358289,NS,-2.09986296834622,1.3638000386606e-39,Down
ENO3,-0.584551091269839,0.0429289313560694,NS,0.787793039405683,1.70699438500613e-09,NS
ALDH9A1,0.367764880952389,0.0474471198754618,NS,-1.06566812015503,2.97325046826643e-50,Down
ACSS1,-0.44189136904761,0.0546508932075203,NS,-0.916398013565884,1.22743863984115e-21,NS
LDHAL6A,-0.59804290674603,0.0614773724952877,NS,-1.23454119024548,1.35177495517518e-14,Down
PKLR,-1.12801264880952,0.0635732033165002,NS,-2.01973762112403,1.17908766577579e-09,Down
ADPGK,0.13818303571429,0.381402548437955,NS,0.228156734496128,1.42724212847077e-07,NS
PCK2,-0.170576884920639,0.493064221738858,NS,-1.43056193475452,3.75290089464798e-22,Down
HK3,-0.20854563492063,0.515694498304198,NS,1.92920381136952,7.22381023250741e-33,Up
PGM2,0.0934126984127097,0.589821800917132,NS,-0.672023901808785,2.37830493470988e-23,NS
HK1,0.0565486111111326,0.800522316032791,NS,-0.844846737726085,1.63342906465791e-17,NS
