sample_id,participant,sample_code,vial,matched_to_kirp,project_inferred,sample_type,tissue,comparator_suitability
TCGA-CZ-4864-11,4864,11,11,FALSE,TCGA-OTHER (KIRC/KICH),Solid Tissue Normal,Kidney,Caution: may not be KIRP-specific normal
TCGA-CZ-5465-11,5465,11,11,FALSE,TCGA-OTHER (KIRC/KICH),Solid Tissue Normal,Kidney,Caution: may not be KIRP-specific normal
TCGA-CZ-5453-11,5453,11,11,FALSE,TCGA-OTHER (KIRC/KICH),Solid Tissue Normal,Kidney,Caution: may not be KIRP-specific normal
TCGA-CJ-6030-11,6030,11,11,FALSE,TCGA-OTHER (KIRC/KICH),Solid Tissue Normal,Kidney,Caution: may not be KIRP-specific normal
TCGA-CJ-5672-11,5672,11,11,FALSE,TCGA-OTHER (KIRC/KICH),Solid Tissue Normal,Kidney,Caution: may not be KIRP-specific normal
TCGA-B0-4700-11,4700,11,11,FALSE,TCGA-OTHER (KIRC/KICH),Solid Tissue Normal,Kidney,Caution: may not be KIRP-specific normal
TCGA-CW-5580-11,5580,11,11,FALSE,TCGA-OTHER (KIRC/KICH),Solid Tissue Normal,Kidney,Caution: may not be KIRP-specific normal
TCGA-CJ-5689-11,5689,11,11,FALSE,TCGA-OTHER (KIRC/KICH),Solid Tissue Normal,Kidney,Caution: may not be KIRP-specific normal
TCGA-KN-8428-11,8428,11,11,FALSE,TCGA-OTHER (KIRC/KICH),Solid Tissue Normal,Kidney,Caution: may not be KIRP-specific normal
TCGA-DZ-6133-11,6133,11,11,TRUE,TCGA-KIRP (likely),Solid Tissue Normal,Kidney,Suitable: KIRP-matched normal
TCGA-BQ-7045-11,7045,11,11,TRUE,TCGA-KIRP (likely),Solid Tissue Normal,Kidney,Suitable: KIRP-matched normal
TCGA-B0-4712-11,4712,11,11,FALSE,TCGA-OTHER (KIRC/KICH),Solid Tissue Normal,Kidney,Caution: may not be KIRP-specific normal
TCGA-P4-A5E8-11,A5E8,11,11,TRUE,TCGA-KIRP (likely),Solid Tissue Normal,Kidney,Suitable: KIRP-matched normal
TCGA-CZ-5469-11,5469,11,11,FALSE,TCGA-OTHER (KIRC/KICH),Solid Tissue Normal,Kidney,Caution: may not be KIRP-specific normal
TCGA-KL-8336-11,8336,11,11,FALSE,TCGA-OTHER (KIRC/KICH),Solid Tissue Normal,Kidney,Caution: may not be KIRP-specific normal
TCGA-KL-8339-11,8339,11,11,FALSE,TCGA-OTHER (KIRC/KICH),Solid Tissue Normal,Kidney,Caution: may not be KIRP-specific normal
TCGA-CJ-5677-11,5677,11,11,FALSE,TCGA-OTHER (KIRC/KICH),Solid Tissue Normal,Kidney,Caution: may not be KIRP-specific normal
TCGA-CJ-5680-11,5680,11,11,FALSE,TCGA-OTHER (KIRC/KICH),Solid Tissue Normal,Kidney,Caution: may not be KIRP-specific normal
TCGA-CZ-5454-11,5454,11,11,FALSE,TCGA-OTHER (KIRC/KICH),Solid Tissue Normal,Kidney,Caution: may not be KIRP-specific normal
TCGA-BQ-5879-11,5879,11,11,TRUE,TCGA-KIRP (likely),Solid Tissue Normal,Kidney,Suitable: KIRP-matched normal
TCGA-CJ-5679-11,5679,11,11,FALSE,TCGA-OTHER (KIRC/KICH),Solid Tissue Normal,Kidney,Caution: may not be KIRP-specific normal
TCGA-BQ-5882-11,5882,11,11,TRUE,TCGA-KIRP (likely),Solid Tissue Normal,Kidney,Suitable: KIRP-matched normal
TCGA-CJ-5678-11,5678,11,11,FALSE,TCGA-OTHER (KIRC/KICH),Solid Tissue Normal,Kidney,Caution: may not be KIRP-specific normal
TCGA-CZ-5455-11,5455,11,11,FALSE,TCGA-OTHER (KIRC/KICH),Solid Tissue Normal,Kidney,Caution: may not be KIRP-specific normal
