gene_id,logFC_main,adj.P.Val_main,regulation_main,logFC_tcga,adj.P.Val_tcga,regulation_tcga
ALDOB,-7.68061408730158,5.65431855140113e-28,Down,-7.9972743863049,2.45719639929801e-76,Down
ADH1B,-4.59645694444445,1.88364578817286e-15,Down,-5.61262361111111,5.25312900242038e-74,Down
ADH1C,-3.9462875,1.27707797960267e-18,Down,-6.53730300387597,7.94974336729328e-119,Down
ALDH3B2,-3.63326676587301,4.27000778275569e-18,Down,-4.76871416343669,5.55442397967258e-86,Down
HK2,3.55394642857144,1.4848523220681e-35,Up,3.02083430232558,1.40750503477517e-88,Up
PCK1,-3.27097371031745,1.97917754530037e-08,Down,-4.15913041020669,1.06857861345116e-40,Down
ADH4,-3.07977182539682,5.39613425283524e-24,Down,-2.91894773901809,2.09789961004876e-69,Down
ALDH3B1,1.88786458333334,2.49627142113617e-18,Up,1.77259132751938,3.92502782468917e-40,Up
PKM,1.83893353174604,1.02328823303176e-17,Up,0.663363210594339,1.78216415568348e-21,NS
PFKP,1.79298511904763,3.41759655057331e-18,Up,0.95207122093024,5.35776325597087e-30,NS
ALDOA,1.76057539682542,2.8652213114974e-14,Up,1.03026808785529,3.53984327098537e-40,Up
ADH6,-1.66936061507937,0.000655649622609368,Down,-2.30918758074936,2.06859822040869e-16,Down
GAPDH,1.66745039682542,2.69868670339425e-13,Up,1.14030200258398,1.83289523908953e-61,Up
ENO1,1.57759424603177,4.14881585165804e-13,Up,0.284114179586588,4.15845226506077e-06,NS
ADH1A,-1.12476309523809,1.46207678287402e-07,Down,-1.87405445736434,5.43527192161438e-48,Down
