gene_symbol,preferred_name,logFC,adj.P.Val,regulation
ALDOB,ALDOB,-7.68061408730158,5.65431855140113e-28,Down
ADH1B,ADH1B,-4.59645694444445,1.88364578817286e-15,Down
ADH1C,ADH1C,-3.9462875,1.27707797960267e-18,Down
ALDH3B2,ALDH3B2,-3.63326676587301,4.27000778275569e-18,Down
HK2,HK2,3.55394642857144,1.4848523220681e-35,Up
PCK1,PCK1,-3.27097371031745,1.97917754530037e-08,Down
ADH4,ADH4,-3.07977182539682,5.39613425283524e-24,Down
PGAM2,PGAM2,-3.00005674603174,2.14528160459598e-13,Down
ALDH3B1,ALDH3B1,1.88786458333334,2.49627142113617e-18,Up
PKM,PKM,1.83893353174604,1.02328823303176e-17,Up
PFKP,PFKP,1.79298511904763,3.41759655057331e-18,Up
ALDOA,ALDOA,1.76057539682542,2.8652213114974e-14,Up
ADH6,ADH6,-1.66936061507937,0.000655649622609368,Down
GAPDH,GAPDH,1.66745039682542,2.69868670339425e-13,Up
LDHC,LDHC,-1.66477068452381,0.000132610593940858,Down
ENO1,ENO1,1.57759424603177,4.14881585165804e-13,Up
ENO2,ENO2,1.56444196428571,3.77759765691245e-09,Up
ENO4,ENO4,1.51864528769841,1.61536928590232e-11,Up
G6PC3,G6PC3,1.47676091269842,4.40074993352197e-17,Up
ALDH3A1,ALDH3A1,1.32598804563493,0.00019559127431889,Up
ALDH2,ALDH2,1.29316914682542,1.04470186495064e-06,Up
ALDH3A2,ALDH3A2,1.19604960317462,3.77759765691245e-09,Up
GPI,GPI,1.1943253968254,3.83679937277509e-09,Up
GCK,GCK,-1.16881964285714,0.000157189360944153,Down
TPI1,TPI1,1.15001984126987,7.13269970709285e-09,Up
ACSS2,ACSS2,1.14971726190477,4.98153974710733e-07,Up
PGM1,PGM1,1.1280322420635,5.22462938764648e-09,Up
ADH1A,ADH1A,-1.12476309523809,1.46207678287402e-07,Down
PGAM1,PGAM1,1.09631944444446,2.3626718518187e-08,Up
DLD,DLD,1.09079216269842,4.66548504947822e-08,Up
FBP2,FBP2,-1.07982008928571,1.81642567067357e-08,Down
