gene_symbol,logFC,adj.P.Val,regulation,AveExpr,moderated_t,in_hsa00010,KEGG_pathways_Up,n_KEGG_Up,KEGG_pathways_Down,n_KEGG_Down,community_louvain,degree,strength,betweenness_unw,closeness_unw,betweenness_w,closeness_w,eigenvector_w
ALDOB,-7.68061408730158,5.65431855140113e-28,Down,7.60305379746836,-12.5002666774834,TRUE,,0,Pentose phosphate pathway; Fructose and mannose metabolism; Biosynthesis of amino acids; Carbon metabolism; HIF-1 signaling pathway; Glycolysis / Gluconeogenesis; Metabolic pathways,7,2,16,14.162,0.0747,6e-04,0,0.4734,0.8915
ADH1B,-4.59645694444445,1.88364578817286e-15,Down,6.75432405063291,-8.63110025942179,TRUE,,0,Tyrosine metabolism; Metabolism of xenobiotics by cytochrome P450; Drug metabolism - cytochrome P450; Fatty acid degradation; Alcoholic liver disease; Pyruvate metabolism; Glycolysis / Gluconeogenesis; Metabolic pathways,8,1,7,6.39,0,4e-04,0.0069,0.3568,0.0121
ADH1C,-3.9462875,1.27707797960267e-18,Down,3.4373835443038,-9.74727562809492,TRUE,,0,Tyrosine metabolism; Metabolism of xenobiotics by cytochrome P450; Drug metabolism - cytochrome P450; Fatty acid degradation; Alcoholic liver disease; Pyruvate metabolism; Glycolysis / Gluconeogenesis; Metabolic pathways,8,1,7,6.1,0,4e-04,0,0.3508,0.0115
ALDH3B2,-3.63326676587301,4.27000778275569e-18,Down,1.39109683544304,-9.51337033628252,TRUE,,0,Tyrosine metabolism; Metabolism of xenobiotics by cytochrome P450; Drug metabolism - cytochrome P450; Glycolysis / Gluconeogenesis; Metabolic pathways,5,1,8,6.963,0,4e-04,0,0.3124,0.0086
HK2,3.55394642857144,1.4848523220681e-35,Up,10.3827183544304,14.5955297929861,TRUE,Carbon metabolism; Starch and sucrose metabolism; Fructose and mannose metabolism; Galactose metabolism; HIF-1 signaling pathway; Central carbon metabolism in cancer; Insulin signaling pathway; Glycolysis / Gluconeogenesis; Metabolic pathways,9,,0,2,10,8.609,0.0552,5e-04,0,0.386,0.5341
PCK1,-3.27097371031745,1.97917754530037e-08,Down,10.0597879746835,-5.95484887055183,TRUE,,0,Pyruvate metabolism; Glucagon signaling pathway; Insulin signaling pathway; Glycolysis / Gluconeogenesis; Metabolic pathways,5,2,5,4.637,0.092,5e-04,0.1701,0.4368,0.2791
ADH4,-3.07977182539682,5.39613425283524e-24,Down,1.24915506329114,-11.3504317882978,TRUE,,0,Tyrosine metabolism; Metabolism of xenobiotics by cytochrome P450; Drug metabolism - cytochrome P450; Fatty acid degradation; Alcoholic liver disease; Pyruvate metabolism; Glycolysis / Gluconeogenesis; Metabolic pathways,8,1,5,4.212,0.0046,4e-04,0,0.3426,0.0095
PGAM2,-3.00005674603174,2.14528160459598e-13,Down,3.67416392405063,-7.9201935019373,TRUE,,0,Glucagon signaling pathway; Central carbon metabolism in cancer; Biosynthesis of amino acids; Carbon metabolism; Glycolysis / Gluconeogenesis; Metabolic pathways,6,2,10,8.963,0,5e-04,0,0.4339,0.7001
ALDH3B1,1.88786458333334,2.49627142113617e-18,Up,11.458335443038,9.62937161248694,TRUE,Tyrosine metabolism; Metabolism of xenobiotics by cytochrome P450; Drug metabolism - cytochrome P450; Glycolysis / Gluconeogenesis; Metabolic pathways,5,,0,1,8,6.581,0.0391,4e-04,0,0.3105,0.0082
PKM,1.83893353174604,1.02328823303176e-17,Up,16.0031329113924,9.37858154044879,TRUE,Biosynthesis of amino acids; Carbon metabolism; Central carbon metabolism in cancer; Glucagon signaling pathway; Pyruvate metabolism; Glycolysis / Gluconeogenesis; Metabolic pathways,7,,0,2,14,13.214,0.0115,6e-04,0.1149,0.5022,0.8861
