database,direction,pathway_id,pathway_name,significant_LFC0,significant_LFC05,significant_LFC1,n_thresholds_sig
KEGG,Down,hsa00010,Glycolysis / Gluconeogenesis,TRUE,TRUE,TRUE,3
KEGG,Down,hsa00020,Citrate cycle (TCA cycle),TRUE,FALSE,FALSE,1
KEGG,Down,hsa00030,Pentose phosphate pathway,TRUE,TRUE,TRUE,3
KEGG,Down,hsa00040,Pentose and glucuronate interconversions,FALSE,FALSE,FALSE,0
KEGG,Down,hsa00051,Fructose and mannose metabolism,TRUE,TRUE,TRUE,3
KEGG,Down,hsa00052,Galactose metabolism,TRUE,TRUE,FALSE,2
KEGG,Down,hsa00053,Ascorbate and aldarate metabolism,FALSE,FALSE,FALSE,0
KEGG,Down,hsa00061,Fatty acid biosynthesis,FALSE,FALSE,FALSE,0
KEGG,Down,hsa00062,Fatty acid elongation,FALSE,FALSE,FALSE,0
KEGG,Down,hsa00071,Fatty acid degradation,TRUE,TRUE,TRUE,3
KEGG,Down,hsa00100,Steroid biosynthesis,FALSE,FALSE,FALSE,0
KEGG,Down,hsa00120,Primary bile acid biosynthesis,FALSE,FALSE,FALSE,0
KEGG,Down,hsa00130,Ubiquinone and other terpenoid-quinone biosynthesis,FALSE,FALSE,FALSE,0
KEGG,Down,hsa00140,Steroid hormone biosynthesis,FALSE,FALSE,FALSE,0
KEGG,Down,hsa00190,Oxidative phosphorylation,FALSE,FALSE,FALSE,0
KEGG,Down,hsa00220,Arginine biosynthesis,FALSE,FALSE,FALSE,0
KEGG,Down,hsa00230,Purine metabolism,FALSE,FALSE,FALSE,0
KEGG,Down,hsa00240,Pyrimidine metabolism,FALSE,FALSE,FALSE,0
KEGG,Down,hsa00250,"Alanine, aspartate and glutamate metabolism",FALSE,FALSE,FALSE,0
KEGG,Down,hsa00260,"Glycine, serine and threonine metabolism",FALSE,FALSE,FALSE,0
KEGG,Down,hsa00270,Cysteine and methionine metabolism,FALSE,FALSE,FALSE,0
KEGG,Down,hsa00280,"Valine, leucine and isoleucine degradation",FALSE,FALSE,FALSE,0
KEGG,Down,hsa00310,Lysine degradation,FALSE,FALSE,FALSE,0
KEGG,Down,hsa00330,Arginine and proline metabolism,FALSE,FALSE,FALSE,0
KEGG,Down,hsa00340,Histidine metabolism,FALSE,FALSE,FALSE,0
KEGG,Down,hsa00350,Tyrosine metabolism,TRUE,TRUE,TRUE,3
KEGG,Down,hsa00360,Phenylalanine metabolism,FALSE,FALSE,FALSE,0
KEGG,Down,hsa00380,Tryptophan metabolism,FALSE,FALSE,FALSE,0
KEGG,Down,hsa00410,beta-Alanine metabolism,FALSE,FALSE,FALSE,0
KEGG,Down,hsa00430,Taurine and hypotaurine metabolism,FALSE,FALSE,FALSE,0
KEGG,Down,hsa00450,Selenocompound metabolism,FALSE,FALSE,FALSE,0
KEGG,Down,hsa00480,Glutathione metabolism,FALSE,FALSE,FALSE,0
KEGG,Down,hsa00500,Starch and sucrose metabolism,FALSE,TRUE,FALSE,1
KEGG,Down,hsa00510,N-Glycan biosynthesis,FALSE,FALSE,FALSE,0
KEGG,Down,hsa00511,Other glycan degradation,FALSE,FALSE,FALSE,0
KEGG,Down,hsa00512,Mucin type O-glycan biosynthesis,FALSE,FALSE,FALSE,0
KEGG,Down,hsa00513,Various types of N-glycan biosynthesis,FALSE,FALSE,FALSE,0
KEGG,Down,hsa00514,Other types of O-glycan biosynthesis,FALSE,FALSE,FALSE,0
KEGG,Down,hsa00515,Mannose type O-glycan biosynthesis,FALSE,FALSE,FALSE,0
KEGG,Down,hsa00520,Amino sugar and nucleotide sugar metabolism,FALSE,FALSE,FALSE,0
KEGG,Down,hsa00531,Glycosaminoglycan degradation,FALSE,FALSE,FALSE,0
KEGG,Down,hsa00532,Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate,FALSE,FALSE,FALSE,0
KEGG,Down,hsa00533,Glycosaminoglycan biosynthesis - keratan sulfate,FALSE,FALSE,FALSE,0
KEGG,Down,hsa00534,Glycosaminoglycan biosynthesis - heparan sulfate / heparin,FALSE,FALSE,FALSE,0
KEGG,Down,hsa00541,Biosynthesis of various nucleotide sugars,FALSE,FALSE,FALSE,0
KEGG,Down,hsa00561,Glycerolipid metabolism,FALSE,FALSE,FALSE,0
KEGG,Down,hsa00562,Inositol phosphate metabolism,FALSE,FALSE,FALSE,0
KEGG,Down,hsa00563,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,FALSE,FALSE,FALSE,0
KEGG,Down,hsa00564,Glycerophospholipid metabolism,FALSE,FALSE,FALSE,0
KEGG,Down,hsa00565,Ether lipid metabolism,FALSE,FALSE,FALSE,0
KEGG,Down,hsa00590,Arachidonic acid metabolism,FALSE,FALSE,FALSE,0
KEGG,Down,hsa00591,Linoleic acid metabolism,FALSE,FALSE,FALSE,0
KEGG,Down,hsa00592,alpha-Linolenic acid metabolism,FALSE,FALSE,FALSE,0
KEGG,Down,hsa00600,Sphingolipid metabolism,FALSE,FALSE,FALSE,0
KEGG,Down,hsa00601,Glycosphingolipid biosynthesis - lacto and neolacto series,FALSE,FALSE,FALSE,0
KEGG,Down,hsa00603,Glycosphingolipid biosynthesis - globo and isoglobo series,FALSE,FALSE,FALSE,0
KEGG,Down,hsa00604,Glycosphingolipid biosynthesis - ganglio series,FALSE,FALSE,FALSE,0
KEGG,Down,hsa00620,Pyruvate metabolism,TRUE,TRUE,TRUE,3
KEGG,Down,hsa00630,Glyoxylate and dicarboxylate metabolism,FALSE,FALSE,FALSE,0
KEGG,Down,hsa00640,Propanoate metabolism,TRUE,TRUE,FALSE,2
KEGG,Down,hsa00650,Butanoate metabolism,FALSE,FALSE,FALSE,0
KEGG,Down,hsa00670,One carbon pool by folate,FALSE,FALSE,FALSE,0
KEGG,Down,hsa00730,Thiamine metabolism,FALSE,FALSE,FALSE,0
KEGG,Down,hsa00760,Nicotinate and nicotinamide metabolism,FALSE,FALSE,FALSE,0
KEGG,Down,hsa00770,Pantothenate and CoA biosynthesis,FALSE,FALSE,FALSE,0
KEGG,Down,hsa00785,Lipoic acid metabolism,FALSE,FALSE,FALSE,0
KEGG,Down,hsa00790,Folate biosynthesis,FALSE,FALSE,FALSE,0
KEGG,Down,hsa00830,Retinol metabolism,TRUE,TRUE,TRUE,3
KEGG,Down,hsa00860,Porphyrin metabolism,FALSE,FALSE,FALSE,0
KEGG,Down,hsa00900,Terpenoid backbone biosynthesis,FALSE,FALSE,FALSE,0
KEGG,Down,hsa00910,Nitrogen metabolism,FALSE,FALSE,FALSE,0
KEGG,Down,hsa00920,Sulfur metabolism,FALSE,FALSE,FALSE,0
KEGG,Down,hsa00980,Metabolism of xenobiotics by cytochrome P450,TRUE,TRUE,TRUE,3
KEGG,Down,hsa00982,Drug metabolism - cytochrome P450,TRUE,TRUE,TRUE,3
KEGG,Down,hsa00983,Drug metabolism - other enzymes,FALSE,FALSE,FALSE,0
KEGG,Down,hsa01040,Biosynthesis of unsaturated fatty acids,FALSE,FALSE,FALSE,0
KEGG,Down,hsa01200,Carbon metabolism,TRUE,TRUE,TRUE,3
KEGG,Down,hsa01210,2-Oxocarboxylic acid metabolism,FALSE,FALSE,FALSE,0
KEGG,Down,hsa01212,Fatty acid metabolism,FALSE,FALSE,FALSE,0
KEGG,Down,hsa01230,Biosynthesis of amino acids,TRUE,TRUE,FALSE,2
KEGG,Down,hsa01232,Nucleotide metabolism,FALSE,FALSE,FALSE,0
KEGG,Down,hsa01240,Biosynthesis of cofactors,FALSE,FALSE,FALSE,0
KEGG,Down,hsa01250,Biosynthesis of nucleotide sugars,FALSE,FALSE,FALSE,0
KEGG,Down,hsa01521,EGFR tyrosine kinase inhibitor resistance,FALSE,FALSE,FALSE,0
KEGG,Down,hsa01522,Endocrine resistance,FALSE,FALSE,FALSE,0
KEGG,Down,hsa01523,Antifolate resistance,FALSE,FALSE,FALSE,0
KEGG,Down,hsa01524,Platinum drug resistance,FALSE,FALSE,FALSE,0
KEGG,Down,hsa02010,ABC transporters,FALSE,FALSE,FALSE,0
KEGG,Down,hsa03008,Ribosome biogenesis in eukaryotes,FALSE,FALSE,FALSE,0
KEGG,Down,hsa03010,Ribosome,FALSE,FALSE,FALSE,0
KEGG,Down,hsa03013,Nucleocytoplasmic transport,FALSE,FALSE,FALSE,0
KEGG,Down,hsa03015,mRNA surveillance pathway,FALSE,FALSE,FALSE,0
KEGG,Down,hsa03018,RNA degradation,FALSE,FALSE,FALSE,0
KEGG,Down,hsa03020,RNA polymerase,FALSE,FALSE,FALSE,0
KEGG,Down,hsa03022,Basal transcription factors,FALSE,FALSE,FALSE,0
KEGG,Down,hsa03030,DNA replication,FALSE,FALSE,FALSE,0
KEGG,Down,hsa03040,Spliceosome,FALSE,FALSE,FALSE,0
KEGG,Down,hsa03050,Proteasome,FALSE,FALSE,FALSE,0
KEGG,Down,hsa03060,Protein export,FALSE,FALSE,FALSE,0
KEGG,Down,hsa03082,ATP-dependent chromatin remodeling,FALSE,FALSE,FALSE,0
KEGG,Down,hsa03083,Polycomb repressive complex,FALSE,FALSE,FALSE,0
