PC,Variance,Cumulative
1,34.1,34.1
2,9.9,44
3,7.7,51.7
4,4.5,56.2
5,3.7,59.9
6,2.5,62.4
7,2.4,64.8
8,2.1,66.9
9,2.1,69
10,1.9,70.9
11,1.7,72.6
12,1.6,74.2
13,1.5,75.7
14,1.5,77.2
15,1.4,78.6
16,1.3,79.9
17,1.3,81.2
18,1.1,82.3
19,1.1,83.4
20,1,84.4
21,1,85.4
22,0.9,86.3
23,0.9,87.2
24,0.8,88
25,0.8,88.8
26,0.7,89.5
27,0.7,90.2
28,0.6,90.8
29,0.6,91.4
30,0.6,92
31,0.6,92.6
32,0.5,93.1
33,0.5,93.6
34,0.5,94.1
35,0.4,94.5
36,0.4,94.9
37,0.4,95.3
38,0.4,95.7
39,0.3,96
40,0.3,96.3
41,0.3,96.6
42,0.3,96.9
43,0.3,97.2
44,0.2,97.4
45,0.2,97.6
46,0.2,97.8
47,0.2,98
48,0.2,98.2
49,0.2,98.4
50,0.2,98.6
51,0.2,98.8
52,0.1,98.9
53,0.1,99
54,0.1,99.1
55,0.1,99.2
56,0.1,99.3
57,0.1,99.4
58,0.1,99.5
59,0.1,99.6
60,0.1,99.7
61,0.1,99.8
62,0.1,99.9
63,0.1,100
64,0.1,100.1
65,0,100.1
66,0,100.1
