gene_id,logFC,AveExpr,t,P.Value,adj.P.Val,B,regulation
ALDH3B2,-5.186340625,3.2400484375,-25.679233914243,6.28186148526676e-24,4.14602858027606e-22,44.6060308755439,Down
ADH1C,-6.005784375,6.4841703125,-15.7452224956953,3.10622720521167e-17,1.02505497771985e-15,29.1039277600715,Down
PGAM2,-5.17100625,5.304590625,-13.182531385227,5.82958308394593e-15,1.26005165042003e-13,23.7995045235976,Down
ALDOB,-8.656375,11.71984375,-13.1048985760719,7.63667666921228e-15,1.26005165042003e-13,23.5320211271287,Down
HK2,3.33875,9.06534375,11.927153442389,9.84091571948175e-14,1.29900087497159e-12,20.9330425595129,Up
LDHC,-3.059153125,2.8678609375,-11.5664872290467,2.2952380597208e-13,2.52476186569288e-12,20.0740319100222,Down
ADH4,-2.91754375,2.655509375,-11.1251560237176,6.613706369632e-13,6.23578029136731e-12,19.0006174228024,Down
ADH1B,-4.9436875,9.14265625,-10.4940014142852,3.13646256803509e-12,2.58758161862895e-11,17.4221542519119,Down
GAPDH,1.100625,16.6453125,10.4113522119044,3.86022795094022e-12,2.8308338306895e-11,17.2116380220062,Up
PCK1,-5.11184375,11.986015625,-9.20144277748129,9.45245284664367e-11,6.23861887878482e-10,13.9758962864834,Down
ADH1A,-1.805903125,1.2530234375,-8.81514922794376,2.53518406016601e-10,1.52111043609961e-09,12.9722915635869,Down
FBP1,-3.06975,11.4841875,-8.40803948243528,7.76916970396666e-10,4.27304333718166e-09,11.8394495818919,Down
FBP2,-1.567709375,1.3438671875,-8.02521282099675,2.26892145559272e-09,1.14100988172368e-08,10.7562875560731,Down
ALDH9A1,-0.883375000000001,12.3214375,-8.00233647861431,2.42032399153507e-09,1.14100988172368e-08,10.6910350377988,NS
TPI1,0.584375,14.5846875,6.94029674447692,5.17120359814077e-08,2.27532958318194e-07,7.603646199962,NS
HK3,2.25940625,6.021859375,6.81052147438919,7.57444600811912e-08,3.12445897834914e-07,7.21968131871254,Up
ALDOA,1.1215625,15.81859375,6.56394211405297,1.57003947993556e-07,6.09544739269099e-07,6.48708532357688,Up
ENO2,2.275875,9.92859375,6.47829534536445,2.02447886922767e-07,7.42308918716814e-07,6.23181312259984,Up
ADH5,-0.688125,12.63125,-6.30414335768374,3.39963271667755e-07,1.18092504895115e-06,5.7116876757003,NS
HKDC1,1.16521875,10.735078125,6.25460102528319,3.9410633228131e-07,1.2700981042556e-06,5.56350104135821,Up
PFKL,-0.641875000000001,13.46875,-6.24619219260982,4.04122124081326e-07,1.2700981042556e-06,5.53834078583273,NS
GALM,-1.0770625,11.53459375,-6.21021902980613,4.49943173852421e-07,1.34982952155726e-06,5.43067860620696,Down
PDHB,-0.602499999999999,11.509375,-6.10296654266939,6.19998081838635e-07,1.77912493049347e-06,5.10946568697762,NS
ALDH7A1,-0.950031249999999,12.070296875,-5.89622457427551,1.15174597485114e-06,3.16730143084064e-06,4.48963846857888,NS
ACSS1,-1.10075,11.77775,-5.80677690922289,1.50628931608637e-06,3.97660379446803e-06,4.22134683480683,Down
G6PC3,0.575,11.8384375,5.72851469511375,1.90523821819948e-06,4.83637393850637e-06,3.98661588559644,NS
PKM,0.819687499999998,15.76828125,5.42480966938295,4.74433737145544e-06,1.15972691302244e-05,3.07667047993761,NS
LDHAL6A,-1.2523625,1.9581625,-5.12868756518336,1.15374101963183e-05,2.71953240341789e-05,2.19298414429985,Down
PCK2,-1.69303125,11.824546875,-5.07256468548122,1.36495031818036e-05,3.10643865516909e-05,2.02614071983042,Down
PKLR,-3.372759375,8.1563078125,-4.87948813088337,2.43080493281959e-05,5.3477708522031e-05,1.45425605025161,Down
ADH6,-2.76640625,8.421953125,-4.66780779859335,4.56299097470928e-05,9.71475497841331e-05,0.831893879789128,Down
PFKP,0.8971875,12.48203125,4.39479675002263,0.00010213957204453,0.000210662867341842,0.0385423776889082,NS
ALDH3A2,-0.701562500000001,12.70859375,-4.37489394857429,0.000108281317602785,0.000216562635205569,-0.0188059534513796,NS
GPI,0.4946875,14.27359375,4.12566354787086,0.000223866283685723,0.000434563962448757,-0.730309805541725,NS
ALDH3B1,1.0436875,10.94734375,3.55523363579031,0.00112884667322554,0.00212868229808245,-2.30038530164243,Up
LDHA,0.630937499999999,14.21234375,3.39618995530138,0.00174724393091272,0.00320328054000666,-2.71985191477718,NS
GCK,-1.0499125,3.0666375,-3.34022327291253,0.00203398885709564,0.00362819633968411,-2.86522236553195,Down
ALDH1B1,-0.821843749999999,11.571046875,-3.13733647019968,0.00349899614368052,0.00607720382849774,-3.38160392031994,NS
PGAM1,0.355312499999998,13.59703125,3.07249646145067,0.00414908517679142,0.00702152876072394,-3.54290664944248,NS
AKR1A1,-0.584687499999999,12.56328125,-2.94316069213427,0.00580199099445436,0.00948177885948784,-3.8588656484342,NS
DLAT,-0.398468750000001,11.186703125,-2.93728269991632,0.00589019595816669,0.00948177885948784,-3.87303549113437,NS
ALDOC,-1.0786875,8.23825,-2.87521800085996,0.00690173752938834,0.0108455875461817,-4.02161162961135,Down
PDHA1,-0.3425,12.53125,-2.60486474766569,0.0135101336199932,0.0207364841609198,-4.64535867654458,NS
ADPGK,0.222906249999999,10.425578125,2.46289911189412,0.0189733987279001,0.0284600980918502,-4.95645114129122,NS
ALDH2,-0.55078125,13.769609375,-2.38896765169798,0.0225573083603183,0.0330840522618001,-5.11364443263265,NS
LDHB,-0.3259375,15.28359375,-2.34526968114489,0.0249543314105284,0.0358040407194538,-5.20494777761437,NS
HK1,-0.509125000000001,11.6923125,-2.32499931326686,0.0261425735941768,0.0367108480258652,-5.24688792974882,NS
ENO1,0.3396875,16.12171875,2.31561270530926,0.0267099202810824,0.0367261403864883,-5.26621960797756,NS
MINPP1,-0.246156250000001,9.690078125,-2.13162755421234,0.04030726187378,0.0542914139524384,-5.63336558439762,NS
PGM2,-0.251718750000001,9.644390625,-1.84430727884941,0.0738193469783147,0.0974415380113754,-6.15916951422252,NS
GAPDHS,0.2483125,0.285825,1.75886570794119,0.0875501837992336,0.113300237857832,-6.30361022859887,NS
BPGM,-0.2055,10.3563125,-1.68491129687284,0.10111567841041,0.128339130290135,-6.42400704245188,NS
ACSS2,0.2896875,12.09703125,1.61730909423971,0.115003776379973,0.143212249831664,-6.53022298137382,NS
G6PC2,-0.21711875,1.152459375,-1.59519257142652,0.119874361366147,0.146513108336402,-6.5641635783515,NS
PGK1,0.1721875,14.26578125,1.50824721418917,0.140678918178646,0.168814701814376,-6.69366433396887,NS
ALDH3A1,0.58225,5.7496875,1.40387678459564,0.169375740404029,0.198802674279098,-6.84069041193453,NS
PGAM4,-0.27318125,2.287875,-1.39607494657872,0.171693218695584,0.198802674279098,-6.85130512105851,NS
ENO4,-0.305384375,4.9970890625,-1.30094427416461,0.201978940289656,0.22983810446754,-6.97645940895417,NS
PFKM,-0.15209375,12.201765625,-1.00376438956671,0.322544970105241,0.360813017405863,-7.31500189643358,NS
LDHAL6B,-0.241293750000001,1.6299875,-0.924519688054237,0.361696517086434,0.397866168795078,-7.3914319648971,NS
DLD,-0.0621562500000005,12.510171875,-0.476270756387195,0.636911665595286,0.689117539824407,-7.7090383463753,NS
PGK2,0.025865625,0.0404484375,0.448839240861607,0.656380194577361,0.695617127250067,-7.72199638256338,NS
ADH7,0.0760687500000002,0.321246875,0.438199888269517,0.663998166920518,0.695617127250067,-7.72681779356666,NS
PGM1,0.0537499999999988,11.9521875,0.422634660847166,0.675208608036647,0.696308877037792,-7.73366535321297,NS
ENO3,0.0999062500000003,7.518609375,0.377433795440528,0.708184547894855,0.719079694785545,-7.75216009811592,NS
PDHA2,0,0,0,1,1,-7.82520488079487,NS
