gene_id,logFC,AveExpr,t,P.Value,adj.P.Val,B,regulation
ADH1C,-6.53730300387593,5.11004364508393,-33.5208523929594,1.20450657080325e-120,7.94974336730142e-119,264.976347563938,Down
HK2,3.02083430232556,9.76312230215827,26.1543182537362,4.26516677204925e-90,1.40750503477625e-88,194.641595066312,Up
ALDH3B2,-4.76871416343667,2.54437553956835,-25.5145115146992,2.52473817257873e-87,5.55442397967321e-86,188.259597920276,Down
PGAM2,-4.49539257105941,4.79899712230216,-23.7140078471361,1.91347088432119e-79,3.15722695912997e-78,170.121774254349,Down
ALDOB,-7.99727438630487,9.39647002398081,-23.2676995227334,1.86151242371141e-77,2.45719639929906e-76,165.546455851713,Down
ADH1B,-5.61262361111108,8.08332230215827,-22.7185466219304,4.77557182038665e-75,5.25312900242532e-74,160.001316521102,Down
ADH4,-2.91894773901807,1.87924772182254,-21.6667716591309,2.22504504096169e-70,2.0978996100496e-69,149.258224242403,Down
GAPDH,1.14030200258397,16.7839808153477,19.8703210523535,2.22169119889905e-62,1.83289523909172e-61,130.853619061715,Up
ALDH9A1,-1.06566812015503,12.0231462829736,-17.330118359951,4.05443245672371e-51,2.97325046826405e-50,104.956648489782,Down
ENO2,2.00373570736433,10.5500455635492,17.0230159565709,9.04937712067726e-50,5.97258889964699e-49,101.856445575819,Up
ADH1A,-1.87405445736433,1.22205179856115,-16.7945851203031,9.05878653602758e-49,5.43527192161655e-48,99.5569502171618,Down
FBP2,-1.54281228197674,0.997788489208633,-15.5216019187264,3.0167429897035e-43,1.65920864433692e-42,86.8676528954847,Down
PCK1,-4.15913041020669,11.0565923261391,-15.0923674015847,2.10477605679704e-41,1.06857861345081e-40,82.6332732276949,Down
ALDOA,1.03026808785529,15.8736450839329,14.9612448368366,7.50875845360446e-41,3.53984327098496e-40,81.3645197879984,Up
ALDH3B1,1.77259132751937,11.0772589928058,14.9436510790811,8.92051778338894e-41,3.92502782469113e-40,81.1926972889965,Up
FBP1,-2.09986296834624,10.9820527577938,-14.8096673783488,3.30618191189718e-40,1.36380003865759e-39,79.886235469629,Down
ADH5,-0.805310077519375,12.4841247002398,-14.7194097530357,7.97464761663353e-40,3.09603966292831e-39,79.0082127855299,NS
G6PC3,0.673319605943148,11.868824940048,13.4158076560253,2.16592192873165e-34,7.94171373868273e-34,66.5364427557491,NS
