gene_id,mean_logFC,n_sig,robustness_class,logFC_paired,FDR_paired,logFC_gtx,FDR_gtx,logFC_tcga,FDR_tcga,in_hsa00010,in_hsa00030,in_hsa00020
HK3,1.32668814214962,2,DIRECTION_DISCORDANT,2.25940625,3.12445897834914e-07,-0.208545634920638,0.515694498304181,1.9292038113695,7.22381023251175e-33,TRUE,FALSE,FALSE
ALDH9A1,-0.527092746400884,1,DIRECTION_DISCORDANT,-0.883375000000001,1.14100988172368e-08,0.36776488095238,0.0474471198754678,-1.06566812015503,2.97325046826405e-50,TRUE,FALSE,FALSE
GALM,-0.43289067306509,1,DIRECTION_DISCORDANT,-1.0770625,1.34982952155726e-06,0.589773313492064,0.00447490256967191,-0.811382832687334,2.59705810753956e-19,TRUE,FALSE,FALSE
ENO4,0.371492173849513,1,DIRECTION_DISCORDANT,-0.305384375,0.22983810446754,1.51864528769841,1.61536928590249e-11,-0.0987843911498701,0.29646609591122,TRUE,FALSE,FALSE
ALDH2,0.334799007167467,1,DIRECTION_DISCORDANT,-0.55078125,0.0330840522618001,1.2931691468254,1.04470186495105e-06,0.262009124677,0.0143134753348624,TRUE,FALSE,FALSE
DLD,0.272906442260366,1,DIRECTION_DISCORDANT,-0.0621562500000005,0.689117539824407,1.09079216269841,4.66548504947869e-08,-0.209916585917311,0.0017550781266037,TRUE,FALSE,TRUE
ALDH3A2,-0.0365087132398183,1,DIRECTION_DISCORDANT,-0.701562500000001,0.000216562635205569,1.1960496031746,3.77759765691416e-09,-0.604013242894054,1.34270325700912e-15,TRUE,FALSE,FALSE
LDHA,0.588587693798449,0,INCONCLUSIVE,0.630937499999999,0.00320328054000666,0.891666666666666,0.000121589115194745,0.243158914728681,0.00343260884436692,TRUE,FALSE,FALSE
PFKL,-0.48400947459087,0,INCONCLUSIVE,-0.641875000000001,1.2700981042556e-06,-0.484756944444445,0.00013112580804722,-0.325396479328163,7.21688672230423e-08,TRUE,TRUE,FALSE
LDHAL6B,-0.470826040513104,0,INCONCLUSIVE,-0.241293750000001,0.397866168795078,-0.894171726190476,1.84919953623388e-05,-0.277012645348836,0.00531734357578554,TRUE,FALSE,FALSE
