gene,pathways,in_matrix,reason
ACLY,hsa00020,True,
ACO1,hsa00020,True,
ACO2,hsa00020,True,
ACSS1,hsa00010,True,
ACSS2,hsa00010,True,
ADH1A,hsa00010,True,
ADH1B,hsa00010,True,
ADH1C,hsa00010,True,
ADH4,hsa00010,True,
ADH5,hsa00010,True,
ADH6,hsa00010,True,
ADH7,hsa00010,True,
ADPGK,hsa00010,True,
AKR1A1,hsa00010,True,
ALDH1B1,hsa00010,True,
ALDH2,hsa00010,True,
ALDH3A1,hsa00010,True,
ALDH3A2,hsa00010,True,
ALDH3B1,hsa00010,True,
ALDH3B2,hsa00010,True,
ALDH7A1,hsa00010,True,
ALDH9A1,hsa00010,True,
ALDOA,hsa00010;hsa00030,True,
ALDOB,hsa00010;hsa00030,True,
ALDOC,hsa00010;hsa00030,True,
BPGM,hsa00010,True,
CS,hsa00020,True,
DERA,hsa00030,True,
DLAT,hsa00010;hsa00020,True,
DLD,hsa00010;hsa00020,True,
DLST,hsa00020,True,
ENO1,hsa00010,True,
ENO2,hsa00010,True,
ENO3,hsa00010,True,
ENO4,hsa00010,True,
FBP1,hsa00010;hsa00030,True,
FBP2,hsa00010;hsa00030,True,
FH,hsa00020,True,
G6PC1,hsa00010,False,Not in Xena transcriptome
G6PC2,hsa00010,True,
G6PC3,hsa00010,True,
G6PD,hsa00030,True,
GALM,hsa00010,True,
GAPDH,hsa00010,True,
GAPDHS,hsa00010,True,
GCK,hsa00010,True,
GLYCTK,hsa00030,True,
GPI,hsa00010;hsa00030,True,
H6PD,hsa00030,True,
HK1,hsa00010,True,
HK2,hsa00010,True,
HK3,hsa00010,True,
HKDC1,hsa00010,True,
IDH1,hsa00020,True,
IDH2,hsa00020,True,
IDH3A,hsa00020,True,
IDH3B,hsa00020,True,
IDH3G,hsa00020,True,
IDNK,hsa00030,True,
LDHA,hsa00010,True,
LDHAL6A,hsa00010,True,
LDHAL6B,hsa00010,True,
LDHB,hsa00010,True,
LDHC,hsa00010,True,
MDH1,hsa00020,True,
MDH2,hsa00020,True,
MINPP1,hsa00010,True,
OGDH,hsa00020,True,
OGDHL,hsa00020,True,
PC,hsa00020,True,
PCK1,hsa00010;hsa00020,True,
PCK2,hsa00010;hsa00020,True,
PDHA1,hsa00010;hsa00020,True,
PDHA2,hsa00010;hsa00020,True,
PDHB,hsa00010;hsa00020,True,
PFKL,hsa00010;hsa00030,True,
PFKM,hsa00010;hsa00030,True,
PFKP,hsa00010;hsa00030,True,
PGAM1,hsa00010,True,
PGAM2,hsa00010,True,
PGAM4,hsa00010,True,
PGD,hsa00030,True,
PGK1,hsa00010,True,
PGK2,hsa00010,True,
PGLS,hsa00030,True,
PGM1,hsa00010;hsa00030,True,
PGM2,hsa00010;hsa00030,True,
PKLR,hsa00010,True,
PKM,hsa00010,True,
PRPS1,hsa00030,True,
PRPS1L1,hsa00030,True,
PRPS2,hsa00030,True,
RBKS,hsa00030,True,
RGN,hsa00030,True,
RPE,hsa00030,True,
RPEL1,hsa00030,True,
RPIA,hsa00030,True,
SDHA,hsa00020,True,
SDHB,hsa00020,True,
SDHC,hsa00020,True,
SDHD,hsa00020,True,
SHPK,hsa00030,True,
SUCLA2,hsa00020,True,
SUCLG1,hsa00020,True,
SUCLG2,hsa00020,True,
TALDO1,hsa00030,True,
TKT,hsa00030,True,
TKTL1,hsa00030,True,
TKTL2,hsa00030,True,
TPI1,hsa00010,True,
