sample,study,type,participant,condition
GTEX-11OF3-1326-SM-5N9FJ,GTEX,Normal_Tissue,GTEX-11OF3-1326-SM-5N9FJ,Normal_GTEx
GTEX-11PRG-2226-SM-5GU5R,GTEX,Normal_Tissue,GTEX-11PRG-2226-SM-5GU5R,Normal_GTEx
GTEX-12696-0926-SM-5FQTV,GTEX,Normal_Tissue,GTEX-12696-0926-SM-5FQTV,Normal_GTEx
GTEX-12WSG-0826-SM-5EQ5A,GTEX,Normal_Tissue,GTEX-12WSG-0826-SM-5EQ5A,Normal_GTEx
GTEX-13112-2126-SM-5GCO4,GTEX,Normal_Tissue,GTEX-13112-2126-SM-5GCO4,Normal_GTEx
GTEX-1399S-0526-SM-5IJG8,GTEX,Normal_Tissue,GTEX-1399S-0526-SM-5IJG8,Normal_GTEx
GTEX-13NYB-1726-SM-5N9G2,GTEX,Normal_Tissue,GTEX-13NYB-1726-SM-5N9G2,Normal_GTEx
GTEX-13O1R-2526-SM-5N9FW,GTEX,Normal_Tissue,GTEX-13O1R-2526-SM-5N9FW,Normal_GTEx
GTEX-13OW6-1826-SM-5N9F9,GTEX,Normal_Tissue,GTEX-13OW6-1826-SM-5N9F9,Normal_GTEx
GTEX-13RTJ-2226-SM-5S2Q1,GTEX,Normal_Tissue,GTEX-13RTJ-2226-SM-5S2Q1,Normal_GTEx
GTEX-145MN-0326-SM-5QGQI,GTEX,Normal_Tissue,GTEX-145MN-0326-SM-5QGQI,Normal_GTEx
GTEX-147F4-2626-SM-5Q5CS,GTEX,Normal_Tissue,GTEX-147F4-2626-SM-5Q5CS,Normal_GTEx
GTEX-1497J-0826-SM-5NQAJ,GTEX,Normal_Tissue,GTEX-1497J-0826-SM-5NQAJ,Normal_GTEx
GTEX-N7MS-1626-SM-3LK5F,GTEX,Normal_Tissue,GTEX-N7MS-1626-SM-3LK5F,Normal_GTEx
GTEX-NPJ8-2226-SM-3TW8D,GTEX,Normal_Tissue,GTEX-NPJ8-2226-SM-3TW8D,Normal_GTEx
GTEX-QLQW-1626-SM-4R1K1,GTEX,Normal_Tissue,GTEX-QLQW-1626-SM-4R1K1,Normal_GTEx
GTEX-T5JC-1526-SM-4DM68,GTEX,Normal_Tissue,GTEX-T5JC-1526-SM-4DM68,Normal_GTEx
GTEX-T6MN-1826-SM-5CHQB,GTEX,Normal_Tissue,GTEX-T6MN-1826-SM-5CHQB,Normal_GTEx
GTEX-WI4N-2026-SM-4OOS7,GTEX,Normal_Tissue,GTEX-WI4N-2026-SM-4OOS7,Normal_GTEx
GTEX-XPVG-0526-SM-4B65N,GTEX,Normal_Tissue,GTEX-XPVG-0526-SM-4B65N,Normal_GTEx
GTEX-Y5V6-2026-SM-5IFHO,GTEX,Normal_Tissue,GTEX-Y5V6-2026-SM-5IFHO,Normal_GTEx
GTEX-ZC5H-1726-SM-5HL7X,GTEX,Normal_Tissue,GTEX-ZC5H-1726-SM-5HL7X,Normal_GTEx
GTEX-ZDXO-0226-SM-4WKH7,GTEX,Normal_Tissue,GTEX-ZDXO-0226-SM-4WKH7,Normal_GTEx
GTEX-ZE9C-1426-SM-4WKGM,GTEX,Normal_Tissue,GTEX-ZE9C-1426-SM-4WKGM,Normal_GTEx
GTEX-ZLFU-0926-SM-5P9F8,GTEX,Normal_Tissue,GTEX-ZLFU-0926-SM-5P9F8,Normal_GTEx
GTEX-ZYFD-1526-SM-5NQ7T,GTEX,Normal_Tissue,GTEX-ZYFD-1526-SM-5NQ7T,Normal_GTEx
GTEX-ZYFG-1626-SM-5GZYY,GTEX,Normal_Tissue,GTEX-ZYFG-1626-SM-5GZYY,Normal_GTEx
GTEX-ZYT6-2226-SM-5GIC9,GTEX,Normal_Tissue,GTEX-ZYT6-2226-SM-5GIC9,Normal_GTEx
TCGA-2K-A9WE-01,TCGA,Primary_Tumor,TCGA-2K-A9WE,KIRP
TCGA-2Z-A9J1-01,TCGA,Primary_Tumor,TCGA-2Z-A9J1,KIRP
TCGA-2Z-A9J2-01,TCGA,Primary_Tumor,TCGA-2Z-A9J2,KIRP
TCGA-2Z-A9J3-01,TCGA,Primary_Tumor,TCGA-2Z-A9J3,KIRP
TCGA-2Z-A9J5-01,TCGA,Primary_Tumor,TCGA-2Z-A9J5,KIRP
TCGA-2Z-A9J6-01,TCGA,Primary_Tumor,TCGA-2Z-A9J6,KIRP
TCGA-2Z-A9J7-01,TCGA,Primary_Tumor,TCGA-2Z-A9J7,KIRP
TCGA-2Z-A9J8-01,TCGA,Primary_Tumor,TCGA-2Z-A9J8,KIRP
TCGA-2Z-A9J9-01,TCGA,Primary_Tumor,TCGA-2Z-A9J9,KIRP
TCGA-2Z-A9JD-01,TCGA,Primary_Tumor,TCGA-2Z-A9JD,KIRP
