gene_id,logFC_Paired,CI.L_Paired,CI.R_Paired,FDR_Paired,AveExpr,logFC_TCGA_adj,FDR_TCGA_adj,logFC_GTEx,FDR_GTEx,pathway
ALDOA,1.1215625,0.774699883669116,1.46842511633089,6.89227663826285e-07,15.81859375,0.934548611111111,1.28902166163211e-11,1.7605753968254,4.33587355373471e-14,hsa00030
ALDOB,-8.656375,-9.9928430720989,-7.3199069279011,1.57176107042207e-13,11.71984375,-9.12553819444444,1.25833640268272e-42,-7.68061408730159,9.81063461902814e-28,hsa00030
ALDOC,-1.0786875,-1.83553545772289,-0.321839542277113,0.0101681475513954,8.23825,-1.22482986111111,0.0010624835249946,-0.882486111111112,0.0316036056297726,hsa00030
DERA,0.00215625000000047,-0.246026016998181,0.250338516998182,0.986026043487158,10.884203125,0.0755972222222224,0.551359530883094,1.07582936507937,2.31270901078818e-09,hsa00030
FBP1,-3.06975,-3.80351667997233,-2.33598332002767,3.70137486788275e-09,11.4841875,-2.68660763888889,3.86756609878523e-23,-0.659330853174606,0.0338328271657336,hsa00030
FBP2,-1.567709375,-1.9667448198575,-1.1686739301425,1.41408118274985e-08,1.3438671875,-1.60720625,7.07622303186867e-18,-1.07982008928572,2.33786847871877e-08,hsa00030
G6PD,1.488875,1.01734156529402,1.96040843470598,1.00358267010089e-06,11.1043125,1.04688541666667,1.90975898458254e-07,1.43836755952381,1.0529753765687e-08,hsa00030
GLYCTK,-1.3368125,-1.90958968398568,-0.764035316014318,8.15076972077378e-05,9.71234375,-0.978895833333334,1.91429476668161e-05,-0.600324404761904,0.0260735894961337,hsa00030
GPI,0.494687500000001,0.248553589841158,0.740821410158843,0.000487663636538009,14.27359375,0.274861111111111,0.0178951749089942,1.1943253968254,5.0576353559347e-09,hsa00030
H6PD,0.516875,0.273859098399811,0.759890901600189,0.000257582996521336,11.8771875,0.213524305555557,0.0893910515765898,0.920095734126982,1.6546332168725e-06,hsa00030
IDNK,-1.73790625,-2.15051806178666,-1.32529443821334,3.37461074439522e-09,8.415671875,-1.59920138888889,2.05735567176405e-24,-0.751790674603176,0.000111653729068798,hsa00030
PFKL,-0.641875000000001,-0.854099484243655,-0.429650515756347,1.81169159306701e-06,13.46875,-0.676944444444444,4.22986074103166e-09,-0.484756944444445,0.000159435768467243,hsa00030
PFKM,-0.15209375,-0.459552592948102,0.155365092948103,0.351988311430728,12.201765625,-0.340493055555556,0.0176967821044632,0.934819444444445,5.07862612133495e-06,hsa00030
PFKP,0.8971875,0.484358387956585,1.31001661204342,0.000203082791331802,12.48203125,0.977083333333333,1.94350878866303e-12,1.79298511904762,5.77476571273688e-18,hsa00030
PGD,0.217812499999999,-0.0969645490781979,0.532589549078197,0.194580789265032,11.96390625,-0.00489583333333186,0.964765135367358,0.893675595238094,1.32803780215173e-06,hsa00030
PGLS,0.870343750000001,0.658744668297506,1.0819428317025,5.18481053150726e-09,10.855453125,0.880614583333334,5.5009680417885e-12,0.974252976190474,1.47596135388004e-07,hsa00030
PGM1,0.0537499999999986,-0.204302554819582,0.31180255481958,0.701419902228037,11.9521875,-0.059815972222222,0.661246851692451,1.12803224206349,6.72515738705219e-09,hsa00030
PGM2,-0.251718750000001,-0.524422153263294,0.0209846532632913,0.0894887949176294,9.644390625,-0.474444444444444,0.000191525973788083,0.0934126984126977,0.596008023421961,hsa00030
PRPS1,-0.00806250000000118,-0.207718747623766,0.191593747623763,0.944027435223749,10.3483125,-0.197687499999999,0.0471518292351341,0.360263392857143,0.00117262601313872,hsa00030
PRPS2,-0.8456875,-1.18230587734024,-0.509069122659763,2.94642414035875e-05,10.82621875,-1.07207638888889,3.52080158473567e-15,0.761878968253969,3.21947578777297e-05,hsa00030
RBKS,-1.033125,-1.38609605488144,-0.680153945118566,3.19141326702659e-06,9.82325,-0.708131944444444,1.18011331171943e-06,0.575609126984127,0.00268363373942393,hsa00030
RGN,-1.84625,-2.57675644021193,-1.11574355978807,2.87499183126698e-05,9.698875,-1.54413194444444,2.12804164917387e-06,-0.716917658730158,0.0513786368925817,hsa00030
RPE,0.25678125,0.0750863985473438,0.438476101452657,0.0106629722553155,10.531078125,0.174729166666667,0.024755582228234,0.887952380952381,2.31270901078818e-09,hsa00030
RPEL1,0.198209375,-0.113518372370366,0.509937122370367,0.228950725528737,0.8817046875,0.0997020833333335,0.550876833693352,0.143266369047619,0.394466414597087,hsa00030
RPIA,-0.0455312500000002,-0.280622056515271,0.18955955651527,0.716821556820413,8.757609375,-0.0375277777777765,0.675062426338867,0.339240079365078,0.0156870574962273,hsa00030
SHPK,-0.370187500000001,-0.627126446211874,-0.113248553788127,0.00951849384660198,10.0906875,-0.470756944444445,0.000127665717195557,0.336488591269841,0.0516457014190177,hsa00030
TALDO1,0.701250000000001,0.337477920806825,1.06502207919318,0.000774966353116395,12.518125,0.67777777777778,8.74020615595157e-05,1.34706349206349,1.08471737133781e-08,hsa00030
TKT,1.5953125,1.30930733866326,1.88131766133674,4.76929008444818e-12,13.04140625,1.26548611111111,1.06132923724632e-13,1.42245039682539,2.31270901078818e-09,hsa00030
TKTL1,-1.356240625,-1.93802491210684,-0.774456337893158,8.15076972077378e-05,2.4248171875,-1.06372777777778,0.000135914458871676,-1.00086170634921,0.00120884405219821,hsa00030
TKTL2,-0.37974375,-0.662455693441138,-0.097031806558862,0.0150375412468749,0.604665625,-0.458531944444441,6.13097893052911e-05,-0.910708730158729,1.61481280676389e-11,hsa00030
