ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,log2err
hsa04973,Carbohydrate digestion and absorption,6,0.817811234250315,1.99283891231242,0.00287149492892928,0.0552762773818886,0.0208608641156594,11,"tags=67%, list=10%, signal=63%",3099/3101/80201/92579,0.431707695803346
hsa00500,Starch and sucrose metabolism,10,0.681384150924487,1.99190269404929,0.00545860325808456,0.0700520751454185,0.0264371424749264,15,"tags=50%, list=14%, signal=47%",3099/3101/80201/92579/2821,0.407017918923954
hsa00520,Amino sugar and nucleotide sugar metabolism,8,0.673252026069884,1.84813555590714,0.0112645068150613,0.0920125369363685,0.0347248606613946,15,"tags=50%, list=14%, signal=46%",3099/3101/80201/2821,0.380730400722792
hsa01250,Biosynthesis of nucleotide sugars,8,0.673252026069884,1.84813555590714,0.0112645068150613,0.0920125369363685,0.0347248606613946,15,"tags=50%, list=14%, signal=46%",3099/3101/80201/2821,0.380730400722792
hsa00350,Tyrosine metabolism,10,-0.770441724596094,-1.83357287912075,0.00175926785566296,0.0451545416286828,0.0170409948306229,18,"tags=60%, list=17%, signal=55%",128/124/125/127/126/222,0.45505986738723
hsa00980,Metabolism of xenobiotics by cytochrome P450,10,-0.770441724596094,-1.83357287912075,0.00175926785566296,0.0451545416286828,0.0170409948306229,18,"tags=60%, list=17%, signal=55%",128/124/125/127/126/222,0.45505986738723
hsa00982,Drug metabolism - cytochrome P450,10,-0.770441724596094,-1.83357287912075,0.00175926785566296,0.0451545416286828,0.0170409948306229,18,"tags=60%, list=17%, signal=55%",128/124/125/127/126/222,0.45505986738723
hsa05131,Shigellosis,4,0.846177745163956,1.79760903868453,0.0119496801216063,0.0920125369363685,0.0347248606613946,10,"tags=75%, list=9%, signal=71%",3099/3101/80201,0.380730400722792
hsa00830,Retinol metabolism,7,-0.789705373682221,-1.75340357306196,0.00380105845623716,0.0585363002260523,0.0220911729712324,18,"tags=71%, list=17%, signal=63%",128/124/125/127/126,0.431707695803346
hsa04930,Type II diabetes mellitus,7,0.661610150874085,1.70718346682358,0.0317298860358002,0.187938555750509,0.0709266408538798,12,"tags=57%, list=11%, signal=54%",3099/3101/80201/5315,0.321775918075361
hsa00052,Galactose metabolism,13,0.519854486331614,1.66499435066521,0.0420714673710558,0.231393070540807,0.0873260579490212,13,"tags=38%, list=12%, signal=38%",3099/3101/80201/92579/5214,0.321775918075361
hsa00071,Fatty acid degradation,12,-0.655295478308475,-1.64875854710532,0.0152881187545034,0.0980987620080638,0.0370217576344088,23,"tags=58%, list=22%, signal=52%",501/128/223/124/125/127/126,0.380730400722792
hsa04936,Alcoholic liver disease,12,-0.655295478308475,-1.64875854710532,0.0152881187545034,0.0980987620080638,0.0370217576344088,23,"tags=58%, list=22%, signal=52%",501/128/223/124/125/127/126,0.380730400722792
hsa00620,Pyruvate metabolism,32,-0.521057449512155,-1.61630283145774,0.0113042914868416,0.0920125369363685,0.0347248606613946,47,"tags=66%, list=44%, signal=52%",10327/1737/219/2271/224/130/5091/5313/5106/160287/84532/501/5162/128/223/124/5105/125/127/3948/126,0.380730400722792
hsa04066,HIF-1 signaling pathway,22,0.389865388509727,1.46597819325128,0.0623132677963231,0.292374222128468,0.110339900000972,13,"tags=32%, list=12%, signal=35%",3099/2597/3101/226/2026/80201/5214,0.321775918075361
hsa00640,Propanoate metabolism,11,-0.57340110834433,-1.41886478652583,0.06703146374829,0.292374222128468,0.110339900000972,30,"tags=55%, list=28%, signal=44%",160287/8801/8802/8803/84532/3948,0.20207170902116
hsa00360,Phenylalanine metabolism,3,-0.836108045117677,-1.41491504097484,0.06070826306914,0.292374222128468,0.110339900000972,2,"tags=33%, list=2%, signal=34%",222,0.237793834423688
hsa00051,Fructose and mannose metabolism,13,0.429901751098558,1.37689296859041,0.12043795620438,0.403205331640749,0.152166752763691,13,"tags=46%, list=12%, signal=46%",3099/3101/7167/226/80201/5214,0.248911114434702
hsa00020,Citrate cycle (TCA cycle),29,-0.446208935490171,-1.36851589894504,0.111377245508982,0.389820359281437,0.147115361772753,53,"tags=69%, list=50%, signal=47%",4190/5160/55753/1737/2271/4967/48/50/1743/5091/5106/6391/8801/8802/8803/5162/6390/6392/5105/3418,0.142901149386948
hsa00010,Glycolysis / Gluconeogenesis,64,-0.412232986649588,-1.36454067437533,0.07847533632287,0.302130044843049,0.114021676372766,24,"tags=28%, list=23%, signal=55%",84532/501/5211/5162/128/130589/223/8789/2203/124/5105/125/127/3948/229/5224/126/222,0.166933848713193
hsa04820,Cytoskeleton in muscle cells,3,0.745462783937182,1.33871661375941,0.168704156479218,0.442708863335708,0.167075097641619,24,"tags=67%, list=23%, signal=53%",2026/2023,0.16823816568964
hsa01200,Carbon metabolism,72,0.287147988950907,1.32736581662616,0.0945528566883038,0.346693807857114,0.130839715661053,16,"tags=21%, list=15%, signal=55%",3099/7086/2597/25796/3101/7167/226/2026/2539/80201/5315/5214/9563/2821/6888,0.287805130535564
hsa05130,Pathogenic Escherichia coli infection,1,0.980952380952381,1.28023760794689,0.0721442885771543,0.292374222128468,0.110339900000972,3,"tags=100%, list=3%, signal=98%",2597,0.237793834423688
hsa05132,Salmonella infection,1,0.980952380952381,1.28023760794689,0.0721442885771543,0.292374222128468,0.110339900000972,3,"tags=100%, list=3%, signal=98%",2597,0.237793834423688
hsa04932,Non-alcoholic fatty liver disease,5,-0.647561600549477,-1.25721207352945,0.20414673046252,0.476342371079213,0.179768138273189,33,"tags=80%, list=31%, signal=58%",5313/6391/6390/6392,0.119348440591015
hsa00190,Oxidative phosphorylation,4,-0.670919263362872,-1.24196036650304,0.178233438485804,0.442708863335708,0.167075097641619,28,"tags=75%, list=26%, signal=57%",6391/6390/6392,0.128142916898415
hsa04714,Thermogenesis,4,-0.670919263362872,-1.24196036650304,0.178233438485804,0.442708863335708,0.167075097641619,28,"tags=75%, list=26%, signal=57%",6391/6390/6392,0.128142916898415
hsa05012,Parkinson disease,4,-0.670919263362872,-1.24196036650304,0.178233438485804,0.442708863335708,0.167075097641619,28,"tags=75%, list=26%, signal=57%",6391/6390/6392,0.128142916898415
hsa05014,Amyotrophic lateral sclerosis,4,-0.670919263362872,-1.24196036650304,0.178233438485804,0.442708863335708,0.167075097641619,28,"tags=75%, list=26%, signal=57%",6391/6390/6392,0.128142916898415
hsa05016,Huntington disease,4,-0.670919263362872,-1.24196036650304,0.178233438485804,0.442708863335708,0.167075097641619,28,"tags=75%, list=26%, signal=57%",6391/6390/6392,0.128142916898415
hsa05020,Prion disease,4,-0.670919263362872,-1.24196036650304,0.178233438485804,0.442708863335708,0.167075097641619,28,"tags=75%, list=26%, signal=57%",6391/6390/6392,0.128142916898415
hsa05022,Pathways of neurodegeneration - multiple diseases,4,-0.670919263362872,-1.24196036650304,0.178233438485804,0.442708863335708,0.167075097641619,28,"tags=75%, list=26%, signal=57%",6391/6390/6392,0.128142916898415
hsa04922,Glucagon signaling pathway,21,-0.428360685664074,-1.22350445299574,0.196969696969697,0.473958333333333,0.17886841980771,31,"tags=43%, list=29%, signal=38%",5106/160287/5211/5162/8789/2203/5105/3948/5224,0.106323255932708
hsa00340,Histidine metabolism,8,-0.530919625265518,-1.19219454404623,0.251107828655835,0.51831868865937,0.195609694517393,23,"tags=38%, list=22%, signal=32%",501/223/222,0.100990587455923
hsa00410,beta-Alanine metabolism,8,-0.530919625265518,-1.19219454404623,0.251107828655835,0.51831868865937,0.195609694517393,23,"tags=38%, list=22%, signal=32%",501/223/222,0.100990587455923
hsa00053,Ascorbate and aldarate metabolism,7,-0.535353535353535,-1.18865950900566,0.254658385093168,0.51831868865937,0.195609694517393,54,"tags=100%, list=51%, signal=53%",217/10327/219/224/9104/501/223,0.103197466945307
hsa00561,Glycerolipid metabolism,7,-0.535353535353535,-1.18865950900566,0.254658385093168,0.51831868865937,0.195609694517393,54,"tags=100%, list=51%, signal=53%",217/10327/219/224/132158/501/223,0.103197466945307
