category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Environmental Information Processing,Signal transduction,hsa04066,HIF-1 signaling pathway,6/9,22/106,0.272727272727273,3.21212121212121,3.53354523009942,0.00235432812378142,0.0494408905994098,0.0494408905994098,80201/2026/3101/226/2597/3099,6
Metabolism,Carbohydrate metabolism,hsa00051,Fructose and mannose metabolism,4/9,13/106,0.307692307692308,3.62393162393162,3.06205334725112,0.0125301392414322,0.131566462035038,0.131566462035038,80201/3101/226/3099,4
Metabolism,Carbohydrate metabolism,hsa00500,Starch and sucrose metabolism,3/9,10/106,0.3,3.53333333333333,2.55203577520734,0.038049517236271,0.266346620653897,0.266346620653897,80201/3101/3099,3
Organismal Systems,Endocrine system,hsa04910,Insulin signaling pathway,3/9,12/106,0.25,2.94444444444444,2.16846427979536,0.0635961614236579,0.303087983202082,0.303087983202082,80201/3101/3099,3
Metabolism,Carbohydrate metabolism,hsa00052,Galactose metabolism,3/9,13/106,0.230769230769231,2.71794871794872,2.00479714266279,0.0789159680783256,0.303087983202082,0.303087983202082,80201/3101/3099,3
Human Diseases,Cancer: overview,hsa05230,Central carbon metabolism in cancer,4/9,22/106,0.181818181818182,2.14141414141414,1.8232447990924,0.0865965666291664,0.303087983202082,0.303087983202082,80201/3101/2539/3099,4
Metabolism,Global and overview maps,hsa01200,Carbon metabolism,8/9,72/106,0.111111111111111,1.30864197530864,1.40188315276593,0.149841517754775,0.449524553264325,0.449524553264326,80201/2026/3101/2539/226/2597/7086/3099,8
Metabolism,Carbohydrate metabolism,hsa00010,Glycolysis / Gluconeogenesis,7/9,64/106,0.109375,1.28819444444444,1.11040391297164,0.227873648419566,0.598168327101361,0.598168327101361,80201/2026/221/3101/226/2597/3099,7
Metabolism,Global and overview maps,hsa01230,Biosynthesis of amino acids,4/9,36/106,0.111111111111111,1.30864197530864,0.690855560241398,0.361642051730361,0.843831454037508,0.843831454037508,2026/226/2597/7086,4
Metabolism,Carbohydrate metabolism,hsa00030,Pentose phosphate pathway,3/9,30/106,0.1,1.17777777777778,0.348627259141627,0.494761585645362,0.977594995682133,0.977594995682133,2539/226/7086,3
Metabolism,Amino acid metabolism,hsa00350,Tyrosine metabolism,1/9,10/106,0.1,1.17777777777778,0.179090229839112,0.605177854469892,0.977594995682133,0.977594995682133,221,1
Metabolism,Xenobiotics biodegradation and metabolism,hsa00980,Metabolism of xenobiotics by cytochrome P450,1/9,10/106,0.1,1.17777777777778,0.179090229839112,0.605177854469892,0.977594995682133,0.977594995682133,221,1
Metabolism,Xenobiotics biodegradation and metabolism,hsa00982,Drug metabolism - cytochrome P450,1/9,10/106,0.1,1.17777777777778,0.179090229839112,0.605177854469892,0.977594995682133,0.977594995682133,221,1
Metabolism,Carbohydrate metabolism,hsa00020,Citrate cycle (TCA cycle),0/9,29/106,0,0,-1.91550669162515,1,1,1,"",0
Metabolism,Lipid metabolism,hsa00071,Fatty acid degradation,0/9,12/106,0,0,-1.11521020103761,1,1,1,"",0
Metabolism,Carbohydrate metabolism,hsa00620,Pyruvate metabolism,0/9,32/106,0,0,-2.05252835948274,1,1,1,"",0
Metabolism,Carbohydrate metabolism,hsa00640,Propanoate metabolism,0/9,11/106,0,0,-1.06209796581358,1,1,1,"",0
Metabolism,Global and overview maps,hsa01100,Metabolic pathways,9/9,106/106,0.0849056603773585,1,,1,1,1,80201/2026/221/3101/2539/226/2597/7086/3099,9
Metabolism,Global and overview maps,hsa01210,2-Oxocarboxylic acid metabolism,0/9,15/106,0,0,-1.26722861333134,1,1,1,"",0
Organismal Systems,Endocrine system,hsa04922,Glucagon signaling pathway,0/9,21/106,0,0,-1.55142298577023,1,1,1,"",0
Human Diseases,Endocrine and metabolic disease,hsa04936,Alcoholic liver disease,0/9,12/106,0,0,-1.11521020103761,1,1,1,"",0
