ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
R-HSA-70326,Glucose metabolism,16/32,33/99,0.484848484848485,1.5,2.41883159162781,0.0145145719356318,0.261433523497547,0.261433523497547,HK3/ALDOC/ENO2/GAPDH/HKDC1/PC/ALDOA/PKLR/GCK/PCK2/PGAM2/FBP2/HK2/FBP1/ALDOB/PCK1,16
R-HSA-70263,Gluconeogenesis,11/32,21/99,0.523809523809524,1.62053571428571,2.20282376707591,0.0275193182628997,0.261433523497547,0.261433523497547,ALDOC/ENO2/GAPDH/PC/ALDOA/PCK2/PGAM2/FBP2/FBP1/ALDOB/PCK1,11
R-HSA-71387,Metabolism of carbohydrates and carbohydrate derivatives,21/32,51/99,0.411764705882353,1.27389705882353,1.93153447355199,0.0415990113460876,0.263460405191888,0.263460405191888,HK3/ALDOC/ENO2/GAPDH/HKDC1/PC/ALDOA/PKLR/GCK/GALM/PCK2/PGAM2/GLYCTK/RBKS/TKT/FBP2/HK2/FBP1/G6PD/ALDOB/PCK1,21
R-HSA-71384,Ethanol oxidation,6/32,11/99,0.545454545454545,1.6875,1.66294671924412,0.0944215897489902,0.448502551307704,0.448502551307704,ADH1B/ADH6/ADH4/ADH1C/ACSS1/ADH1A,6
R-HSA-211945,Phase I - Functionalization of compounds,6/32,12/99,0.5,1.546875,1.38953564743461,0.143338154538951,0.484801571572851,0.484801571572851,ADH1B/ADH6/ADH4/ADH1C/ACSS1/ADH1A,6
R-HSA-70171,Glycolysis,11/32,26/99,0.423076923076923,1.30889423076923,1.26120495004498,0.153095233128269,0.484801571572851,0.484801571572851,HK3/ALDOC/ENO2/GAPDH/HKDC1/ALDOA/PKLR/GCK/PGAM2/HK2/ALDOB,11
R-HSA-211859,Biological oxidations,6/32,13/99,0.461538461538462,1.42788461538462,1.13815064244402,0.202134419606688,0.548650567503868,0.548650567503868,ADH1B/ADH6/ADH4/ADH1C/ACSS1/ADH1A,6
R-HSA-162582,Signal Transduction,4/32,10/99,0.4,1.2375,0.544652167502636,0.411732216375934,0.977864013892844,0.977864013892844,ADH4/ADH1C/ADH1A/PCK1,4
R-HSA-1643685,Disease,5/32,14/99,0.357142857142857,1.10491071428571,0.291289630462105,0.495377204435261,1,1,PC/PKLR/GCK/GALM/ALDOB,5
R-HSA-70268,Pyruvate metabolism,4/32,12/99,0.333333333333333,1.03125,0.0794020369962631,0.586526668412625,1,1,PC/PKLR/LDHC/LDHAL6A,4
R-HSA-168249,Innate Immune System,4/32,13/99,0.307692307692308,0.951923076923077,-0.127882094656632,0.663003291847291,1,1,HK3/ALDOC/ALDH3B1/ALDOA,4
R-HSA-6798695,Neutrophil degranulation,4/32,13/99,0.307692307692308,0.951923076923077,-0.127882094656632,0.663003291847291,1,1,HK3/ALDOC/ALDH3B1/ALDOA,4
R-HSA-168256,Immune System,4/32,14/99,0.285714285714286,0.883928571428572,-0.322277889021903,0.730053726812103,1,1,HK3/ALDOC/ALDH3B1/ALDOA,4
R-HSA-71336,Pentose phosphate pathway,3/32,14/99,0.214285714285714,0.662946428571429,-0.935845408505912,0.897784908949783,1,1,RBKS/TKT/G6PD,3
R-HSA-1428517,Aerobic respiration and respiratory electron transport,5/32,30/99,0.166666666666667,0.515625,-2.18508546171911,0.994127397037617,1,1,PC/PKLR/LDHC/LDHAL6A/IDH2,5
R-HSA-9837999,Mitochondrial protein degradation,1/32,13/99,0.0769230769230769,0.237980769230769,-2.02693120030761,0.995898632694835,1,1,IDH2,1
R-HSA-392499,Metabolism of proteins,1/32,17/99,0.0588235294117647,0.181985294117647,-2.54817512250556,0.99938920277006,1,1,IDH2,1
R-HSA-71403,Citric acid cycle (TCA cycle),1/32,18/99,0.0555555555555556,0.171875,-2.67079321575571,0.99962756266467,1,1,IDH2,1
R-HSA-1430728,Metabolism,32/32,99/99,0.323232323232323,1,,1,1,1,HK3/ALDH3B2/ALDOC/ENO2/GAPDH/HKDC1/ADH1B/ALDH3B1/PC/ALDOA/PKLR/GCK/ADH6/GALM/ADH4/PCK2/PGAM2/GLYCTK/RBKS/TKT/ADH1C/FBP2/HK2/FBP1/G6PD/ACSS1/LDHC/LDHAL6A/ALDOB/ADH1A/IDH2/PCK1,32
