ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
R-HSA-70171,Glycolysis,6/9,26/99,0.230769230769231,2.53846153846154,2.8742525486433,0.00933851248914906,0.177431737293832,0.177431737293832,HKDC1/ENO2/ALDOA/HK3/GAPDH/HK2,6
R-HSA-71387,Metabolism of carbohydrates and carbohydrate derivatives,8/9,51/99,0.156862745098039,1.72549019607843,2.34104119062633,0.0194144066774596,0.184436863435866,0.184436863435866,HKDC1/ENO2/ALDOA/HK3/G6PD/TKT/GAPDH/HK2,8
R-HSA-70326,Glucose metabolism,6/9,33/99,0.181818181818182,2,2.21359436211787,0.0351240260545314,0.222452165012032,0.222452165012032,HKDC1/ENO2/ALDOA/HK3/GAPDH/HK2,6
R-HSA-168249,Innate Immune System,3/9,13/99,0.230769230769231,2.53846153846154,1.87250131660295,0.0937477013119638,0.356241264985462,0.356241264985462,ALDOA/ALDH3B1/HK3,3
R-HSA-6798695,Neutrophil degranulation,3/9,13/99,0.230769230769231,2.53846153846154,1.87250131660295,0.0937477013119638,0.356241264985462,0.356241264985462,ALDOA/ALDH3B1/HK3,3
R-HSA-168256,Immune System,3/9,14/99,0.214285714285714,2.35714285714286,1.72422190464876,0.113454788447433,0.359273496750205,0.359273496750205,ALDOA/ALDH3B1/HK3,3
R-HSA-70263,Gluconeogenesis,3/9,21/99,0.142857142857143,1.57142857142857,0.928190961784514,0.289701557121749,0.78633279790189,0.78633279790189,ENO2/ALDOA/GAPDH,3
R-HSA-71336,Pentose phosphate pathway,2/9,14/99,0.142857142857143,1.57142857142857,0.725988170378424,0.372931435731111,0.885712159861389,0.885712159861389,G6PD/TKT,2
R-HSA-1430728,Metabolism,9/9,99/99,0.0909090909090909,1,,1,1,1,HKDC1/ENO2/ALDOA/ALDH3B1/HK3/G6PD/TKT/GAPDH/HK2,9
R-HSA-211859,Biological oxidations,0/9,13/99,0,0,-1.21712585579192,1,1,1,"",0
R-HSA-1643685,Disease,0/9,14/99,0,0,-1.27047929816224,1,1,1,"",0
R-HSA-392499,Metabolism of proteins,0/9,17/99,0,0,-1.42537970978725,1,1,1,"",0
R-HSA-162582,Signal Transduction,0/9,10/99,0,0,-1.04934436459421,1,1,1,"",0
R-HSA-1428517,Aerobic respiration and respiratory electron transport,0/9,30/99,0,0,-2.06418738616856,1,1,1,"",0
R-HSA-70268,Pyruvate metabolism,0/9,12/99,0,0,-1.16263671795236,1,1,1,"",0
R-HSA-211945,Phase I - Functionalization of compounds,0/9,12/99,0,0,-1.16263671795236,1,1,1,"",0
R-HSA-71403,Citric acid cycle (TCA cycle),0/9,18/99,0,0,-1.47572957474524,1,1,1,"",0
R-HSA-9837999,Mitochondrial protein degradation,0/9,13/99,0,0,-1.21712585579192,1,1,1,"",0
R-HSA-71384,Ethanol oxidation,0/9,11/99,0,0,-1.10679718105893,1,1,1,"",0
