category,term,number_of_genes,number_of_genes_in_background,ncbiTaxonId,inputGenes,preferredNames,p_value,fdr,description
KEGG,hsa00010,19,65,9606,"9606.ENSP00000209668,9606.ENSP00000216780,9606.ENSP00000223366,9606.ENSP00000226253,9606.ENSP00000255084,9606.ENSP00000265512,9606.ENSP00000272252,9606.ENSP00000280706,9606.ENSP00000297283,9606.ENSP00000306606,9606.ENSP00000316924,9606.ENSP00000319814,9606.ENSP00000339933,9606.ENSP00000363988,9606.ENSP00000364486,9606.ENSP00000378359,9606.ENSP00000408025,9606.ENSP00000426083,9606.ENSP00000437783","ADH1A,PCK2,GCK,ALDOC,ALDH3B2,ADH4,GALM,LDHAL6A,PGAM2,ADH1B,ACSS1,PCK1,PKLR,ALDOB,FBP2,ADH6,FBP1,ADH1C,LDHC",7.36e-41,2.47e-38,Glycolysis / Gluconeogenesis
KEGG,hsa01100,26,1447,9606,"9606.ENSP00000209668,9606.ENSP00000216780,9606.ENSP00000223366,9606.ENSP00000226253,9606.ENSP00000255084,9606.ENSP00000265512,9606.ENSP00000272252,9606.ENSP00000280706,9606.ENSP00000297283,9606.ENSP00000306606,9606.ENSP00000306817,9606.ENSP00000316924,9606.ENSP00000319814,9606.ENSP00000331897,9606.ENSP00000339933,9606.ENSP00000358931,9606.ENSP00000363988,9606.ENSP00000364486,9606.ENSP00000365601,9606.ENSP00000377532,9606.ENSP00000378359,9606.ENSP00000380365,9606.ENSP00000389175,9606.ENSP00000408025,9606.ENSP00000426083,9606.ENSP00000437783","ADH1A,PCK2,GCK,ALDOC,ALDH3B2,ADH4,GALM,LDHAL6A,PGAM2,ADH1B,RBKS,ACSS1,PCK1,IDH2,PKLR,TKTL1,ALDOB,FBP2,IDNK,PC,ADH6,RGN,GLYCTK,FBP1,ADH1C,LDHC",4.9e-30,8.23e-28,Metabolic pathways
KEGG,hsa01200,14,117,9606,"9606.ENSP00000223366,9606.ENSP00000226253,9606.ENSP00000297283,9606.ENSP00000316924,9606.ENSP00000331897,9606.ENSP00000339933,9606.ENSP00000358931,9606.ENSP00000363988,9606.ENSP00000364486,9606.ENSP00000365601,9606.ENSP00000377532,9606.ENSP00000380365,9606.ENSP00000389175,9606.ENSP00000408025","GCK,ALDOC,PGAM2,ACSS1,IDH2,PKLR,TKTL1,ALDOB,FBP2,IDNK,PC,RGN,GLYCTK,FBP1",1.58e-24,1.77e-22,Carbon metabolism
KEGG,hsa00030,9,29,9606,"9606.ENSP00000226253,9606.ENSP00000306817,9606.ENSP00000358931,9606.ENSP00000363988,9606.ENSP00000364486,9606.ENSP00000365601,9606.ENSP00000380365,9606.ENSP00000389175,9606.ENSP00000408025","ALDOC,RBKS,TKTL1,ALDOB,FBP2,IDNK,RGN,GLYCTK,FBP1",4.26e-19,3.58e-17,Pentose phosphate pathway
KEGG,hsa00620,7,38,9606,"9606.ENSP00000216780,9606.ENSP00000280706,9606.ENSP00000316924,9606.ENSP00000319814,9606.ENSP00000339933,9606.ENSP00000377532,9606.ENSP00000437783","PCK2,LDHAL6A,ACSS1,PCK1,PKLR,PC,LDHC",1.32e-13,8.84e-12,Pyruvate metabolism
KEGG,hsa04922,8,101,9606,"9606.ENSP00000216780,9606.ENSP00000223366,9606.ENSP00000280706,9606.ENSP00000297283,9606.ENSP00000319814,9606.ENSP00000364486,9606.ENSP00000408025,9606.ENSP00000437783","PCK2,GCK,LDHAL6A,PGAM2,PCK1,FBP2,FBP1,LDHC",1.02e-12,5.69e-11,Glucagon signaling pathway
KEGG,hsa01230,7,73,9606,"9606.ENSP00000226253,9606.ENSP00000297283,9606.ENSP00000331897,9606.ENSP00000339933,9606.ENSP00000358931,9606.ENSP00000363988,9606.ENSP00000377532","ALDOC,PGAM2,IDH2,PKLR,TKTL1,ALDOB,PC",8.94e-12,4.29e-10,Biosynthesis of amino acids
KEGG,hsa00350,6,35,9606,"9606.ENSP00000209668,9606.ENSP00000255084,9606.ENSP00000265512,9606.ENSP00000306606,9606.ENSP00000378359,9606.ENSP00000426083","ADH1A,ALDH3B2,ADH4,ADH1B,ADH6,ADH1C",1.28e-11,5.37e-10,Tyrosine metabolism
KEGG,hsa00982,6,64,9606,"9606.ENSP00000209668,9606.ENSP00000255084,9606.ENSP00000265512,9606.ENSP00000306606,9606.ENSP00000378359,9606.ENSP00000426083","ADH1A,ALDH3B2,ADH4,ADH1B,ADH6,ADH1C",3.64e-10,1.36e-08,Drug metabolism - cytochrome P450
KEGG,hsa00980,6,69,9606,"9606.ENSP00000209668,9606.ENSP00000255084,9606.ENSP00000265512,9606.ENSP00000306606,9606.ENSP00000378359,9606.ENSP00000426083","ADH1A,ALDH3B2,ADH4,ADH1B,ADH6,ADH1C",5.56e-10,1.87e-08,Metabolism of xenobiotics by cytochrome P450
