category,term,number_of_genes,number_of_genes_in_background,ncbiTaxonId,inputGenes,preferredNames,p_value,fdr,description
KEGG,hsa01200,8,117,9606,"9606.ENSP00000229239,9606.ENSP00000290573,9606.ENSP00000292432,9606.ENSP00000346643,9606.ENSP00000377192,9606.ENSP00000378669,9606.ENSP00000391481,9606.ENSP00000437402","GAPDH,HK2,HK3,HKDC1,G6PD,ALDOA,TKT,ENO2",1.97e-17,6.63e-15,Carbon metabolism
KEGG,hsa00010,7,65,9606,"9606.ENSP00000229239,9606.ENSP00000290573,9606.ENSP00000292432,9606.ENSP00000346643,9606.ENSP00000378669,9606.ENSP00000437402,9606.ENSP00000473990","GAPDH,HK2,HK3,HKDC1,ALDOA,ENO2,ALDH3B1",2.42e-16,4.06e-14,Glycolysis / Gluconeogenesis
KEGG,hsa04066,6,106,9606,"9606.ENSP00000229239,9606.ENSP00000290573,9606.ENSP00000292432,9606.ENSP00000346643,9606.ENSP00000378669,9606.ENSP00000437402","GAPDH,HK2,HK3,HKDC1,ALDOA,ENO2",2.54e-12,2.84e-10,HIF-1 signaling pathway
KEGG,hsa01100,9,1447,9606,"9606.ENSP00000229239,9606.ENSP00000290573,9606.ENSP00000292432,9606.ENSP00000346643,9606.ENSP00000377192,9606.ENSP00000378669,9606.ENSP00000391481,9606.ENSP00000437402,9606.ENSP00000473990","GAPDH,HK2,HK3,HKDC1,G6PD,ALDOA,TKT,ENO2,ALDH3B1",6.81e-11,5.72e-09,Metabolic pathways
KEGG,hsa00051,4,32,9606,"9606.ENSP00000290573,9606.ENSP00000292432,9606.ENSP00000346643,9606.ENSP00000378669","HK2,HK3,HKDC1,ALDOA",1.21e-09,8.1e-08,Fructose and mannose metabolism
KEGG,hsa00524,3,5,9606,"9606.ENSP00000290573,9606.ENSP00000292432,9606.ENSP00000346643","HK2,HK3,HKDC1",3.76e-09,2.11e-07,"Neomycin, kanamycin and gentamicin biosynthesis"
KEGG,hsa05230,4,69,9606,"9606.ENSP00000290573,9606.ENSP00000292432,9606.ENSP00000346643,9606.ENSP00000377192","HK2,HK3,HKDC1,G6PD",2.21e-08,1.06e-06,Central carbon metabolism in cancer
KEGG,hsa01230,4,73,9606,"9606.ENSP00000229239,9606.ENSP00000378669,9606.ENSP00000391481,9606.ENSP00000437402","GAPDH,ALDOA,TKT,ENO2",2.75e-08,1.15e-06,Biosynthesis of amino acids
KEGG,hsa00030,3,29,9606,"9606.ENSP00000377192,9606.ENSP00000378669,9606.ENSP00000391481","G6PD,ALDOA,TKT",3.31e-07,1.24e-05,Pentose phosphate pathway
KEGG,hsa00052,3,30,9606,"9606.ENSP00000290573,9606.ENSP00000292432,9606.ENSP00000346643","HK2,HK3,HKDC1",3.64e-07,1.24e-05,Galactose metabolism
KEGG,hsa00500,3,32,9606,"9606.ENSP00000290573,9606.ENSP00000292432,9606.ENSP00000346643","HK2,HK3,HKDC1",4.37e-07,1.33e-05,Starch and sucrose metabolism
KEGG,hsa04973,3,44,9606,"9606.ENSP00000290573,9606.ENSP00000292432,9606.ENSP00000346643","HK2,HK3,HKDC1",1.08e-06,3.02e-05,Carbohydrate digestion and absorption
KEGG,hsa00520,3,46,9606,"9606.ENSP00000290573,9606.ENSP00000292432,9606.ENSP00000346643","HK2,HK3,HKDC1",1.23e-06,3.17e-05,Amino sugar and nucleotide sugar metabolism
KEGG,hsa04930,3,46,9606,"9606.ENSP00000290573,9606.ENSP00000292432,9606.ENSP00000346643","HK2,HK3,HKDC1",1.23e-06,3.17e-05,Type II diabetes mellitus
KEGG,hsa04910,3,133,9606,"9606.ENSP00000290573,9606.ENSP00000292432,9606.ENSP00000346643","HK2,HK3,HKDC1",2.67e-05,6e-04,Insulin signaling pathway
KEGG,hsa05131,3,218,9606,"9606.ENSP00000290573,9606.ENSP00000292432,9606.ENSP00000346643","HK2,HK3,HKDC1",0.00011,0.0024,Shigellosis
