gene_id,pathway,logFC_Paired,CI.L_Paired,CI.R_Paired,P.Value_Paired,FDR_Paired,AveExpr,logFC_TCGA_adj,FDR_TCGA_adj,logFC_GTEx,FDR_GTEx
ACSS1,hsa00010,-1.10075,-1.48254245620524,-0.718957543794764,1.21535362272794e-06,3.9406920494512e-06,11.77775,-1.10180208333333,6.7647304176968e-10,-0.44189136904762,0.0591935274982211
ACSS2,hsa00010,0.2896875,-0.0725630284981799,0.65193802849818,0.113457030321647,0.139539106257658,12.09703125,0.372708333333332,0.0325492923955987,1.14971726190476,6.74985053203046e-07
ADH1A,hsa00010,-1.805903125,-2.22372745822828,-1.38807879177173,2.3579198395917e-10,1.94074940643317e-09,1.2530234375,-1.51366666666667,5.15837169571415e-14,-1.12476309523809,1.95085170777781e-07
ADH1B,hsa00010,-4.9436875,-5.89049181272378,-3.99688318727623,1.86031133033655e-12,2.21170347051124e-11,9.14265625,-5.26745694444444,3.86060053751201e-23,-4.59645694444445,3.27772243118674e-15
ADH1C,hsa00010,-6.005784375,-6.77697880692072,-5.23458994307928,1.7395631019109e-17,9.30666259522333e-16,6.4841703125,-6.39935,4.66633627052039e-47,-3.9462875,2.10742023477854e-18
ADH4,hsa00010,-2.91754375,-3.44978027863249,-2.38530722136751,4.96770995573103e-13,6.64431206579025e-12,2.655509375,-3.13801736111111,2.96949912132347e-29,-3.07977182539683,8.62188699901837e-24
ADH5,hsa00010,-0.688124999999999,-0.911687173734605,-0.464562826265394,3.6705827653404e-07,1.45463835515342e-06,12.63125,-0.740312499999999,1.19813398901117e-11,0.702499999999999,0.000134428104942748
ADH6,hsa00010,-2.76640625,-3.95822848976883,-1.57458401023117,3.8301726569703e-05,8.53809321449628e-05,8.421953125,-3.07690972222222,6.13173179446136e-11,-1.66936061507937,0.000757212731389974
ADH7,hsa00010,0.0760687500000002,-0.279219852899678,0.431357352899679,0.666458653000136,0.699128194813868,0.321246875,-0.00960451388888912,0.962785500590719,-0.525334871031746,0.00510532791076963
ADPGK,hsa00010,0.222906249999999,0.0419440647146819,0.403868435285317,0.0172327165830245,0.0252589133477208,10.425578125,0.263093750000002,0.00179077353470232,0.138183035714284,0.385480029790308
AKR1A1,hsa00010,-0.584687499999999,-0.986262930087494,-0.183112069912505,0.00555335982344018,0.00900317425921362,12.56328125,-0.387916666666665,0.00790758732288083,0.623065476190473,0.00262066666031607
ALDH1B1,hsa00010,-0.821843749999999,-1.34787006142882,-0.295817438571175,0.00315015173162464,0.00535025770291804,11.571046875,-1.26773958333333,3.5639018544818e-07,0.649300595238094,0.0279836288342026
ALDH2,hsa00010,-0.55078125,-1.01665797589582,-0.084904524104176,0.0218488838761901,0.0311710743300313,13.769609375,-0.09004513888889,0.664493627522017,1.2931691468254,1.38081683345587e-06
ALDH3A1,hsa00010,0.582250000000001,-0.254410998709499,1.4189109987095,0.166531415247622,0.195811664082368,5.7496875,0.867318402777782,0.00828475489272842,1.32598804563492,0.000224564064321538
ALDH3A2,hsa00010,-0.701562500000001,-1.02673658215374,-0.376388417846258,0.000102970351111204,0.000220356551377976,12.70859375,-0.644861111111111,2.15410661791173e-06,1.1960496031746,4.94232598181158e-09
ALDH3B1,hsa00010,1.0436875,0.454524899534179,1.63285010046582,0.000987180713692835,0.00182117821319196,10.94734375,1.20011458333333,1.34055482432185e-09,1.88786458333333,3.84560240322879e-18
ALDH3B2,hsa00010,-5.186340625,-5.59899658045675,-4.77368466954326,3.65900890377422e-24,3.91513952703841e-22,3.2400484375,-4.76405694444444,5.69327800707831e-32,-3.63326676587301,8.22865585757258e-18
ALDH7A1,hsa00010,-0.95003125,-1.27632228496797,-0.623740215032025,1.0198616209678e-06,3.41016229511108e-06,12.070296875,-1.09355902777778,8.02552443019803e-15,0.543360615079365,0.00566380144100635
ALDH9A1,hsa00010,-0.883375000000001,-1.10963900914124,-0.657110990858761,2.58594755057389e-09,1.53720215506337e-08,12.3214375,-1.06964583333333,2.6247748407367e-17,0.36776488095238,0.0518999374526483
ALDOA,hsa00010;hsa00030,1.1215625,0.774794465953053,1.46833053404695,1.41228980436642e-07,6.86886404850941e-07,15.81859375,0.934548611111111,1.30729683746555e-11,1.7605753968254,4.39690580346787e-14
ALDOB,hsa00010;hsa00030,-8.656375,-9.99292967614703,-7.31982032385297,5.95368562650602e-15,1.59261090509036e-13,11.71984375,-9.12553819444444,1.28675491916801e-42,-7.68061408730159,1.39614256224516e-27
ALDOC,hsa00010;hsa00030,-1.0786875,-1.83426777917835,-0.323107220821656,0.0064399270751645,0.0101334146623912,8.23825,-1.22482986111111,0.00106882672308139,-0.882486111111112,0.0318013783363647
BPGM,hsa00010,-0.2055,-0.450316634007498,0.0393166340074988,0.0972230901167906,0.120963612122053,10.3563125,-0.0499027777777775,0.660950676863023,0.777874007936507,3.24031677983951e-06
DLAT,hsa00010;hsa00020,-0.398468750000001,-0.670643947124589,-0.126293552875412,0.00532394223274828,0.00876402798313947,11.186703125,-0.546211805555556,4.45873886130835e-06,0.578904265873017,0.00122375134542339
DLD,hsa00010;hsa00020,-0.0621562500000003,-0.328153630811799,0.203841130811799,0.638151004228594,0.676060964875837,12.510171875,-0.147600694444445,0.281366518222967,1.09079216269841,6.07232540940181e-08
ENO1,hsa00010,0.3396875,0.0410111362119538,0.638363863788045,0.0269788540298899,0.0365409795088382,16.12171875,0.291076388888889,0.00930238256227092,1.57759424603174,6.53853651319622e-13
ENO2,hsa00010,2.275875,1.57023914188011,2.98151085811989,1.4923169728892e-07,6.94251809126713e-07,9.92859375,2.37925,2.52360677962538e-24,1.56444196428571,4.71132454498568e-09
ENO3,hsa00010,0.0999062500000002,-0.435924325752774,0.635736825752775,0.707313029161538,0.720785658288425,7.518609375,0.581756944444445,0.0245652963386803,-0.584551091269841,0.0464891655145393
ENO4,hsa00010,-0.305384375,-0.782338043750671,0.171569293750671,0.202132264640589,0.230086726771734,4.9970890625,-0.139278819444443,0.49549167028541,1.51864528769841,1.81135820227216e-11
FBP1,hsa00010;hsa00030,-3.06975,-3.80290729893185,-2.33659270106815,5.06551812671667e-10,3.61340293039123e-09,11.4841875,-2.68660763888889,3.97064351181369e-23,-0.659330853174606,0.0343695193745059
FBP2,hsa00010;hsa00030,-1.567709375,-1.96677450342736,-1.16864424657264,2.24487551433846e-09,1.4129510590248e-08,1.3438671875,-1.60720625,7.21056350040993e-18,-1.07982008928572,2.38077522016804e-08
G6PC2,hsa00010,-0.21711875,-0.499756552151241,0.0655190521512406,0.127863642455343,0.155470565258201,1.152459375,-0.423848611111113,0.0402551478945116,-0.58700486111111,0.0100359212938997
G6PC3,hsa00010,0.575,0.370949485573327,0.779050514426674,1.81557734251992e-06,5.71372869557738e-06,11.8384375,0.526180555555557,1.93132402028813e-07,1.47676091269841,7.55170221425211e-17
GALM,hsa00010,-1.0770625,-1.42492709424123,-0.729197905758769,3.28317040192824e-07,1.35115089617816e-06,11.53459375,-1.06806597222222,8.41431929537483e-12,0.589773313492064,0.00496587209970313
GAPDH,hsa00010,1.100625,0.883000272806682,1.31824972719332,4.3554553653863e-12,4.66033724096334e-11,16.6453125,1.04173611111111,1.17916429940334e-18,1.6674503968254,4.19849654447697e-13
GAPDHS,hsa00010,0.2483125,-0.0432632052571926,0.539888205257193,0.092636161505609,0.116612579777649,0.285825,0.103526041666668,0.332478792964887,-0.980233779761907,6.04139687470619e-12
GCK,hsa00010,-1.0499125,-1.68590196739055,-0.413923032609454,0.00194137343156214,0.00335043479317983,3.0666375,-1.02705624999999,0.0003527542100893,-1.16881964285715,0.000184991897292397
GPI,hsa00010;hsa00030,0.494687500000001,0.248457862244528,0.740917137755473,0.000249158266579377,0.000493702491185063,14.27359375,0.274861111111111,0.0180622505873042,1.1943253968254,5.13224112996426e-09
HK1,hsa00010,-0.509125000000001,-0.949450916021668,-0.0687990839783338,0.0246974556527877,0.0343198409720556,11.6923125,-0.660326388888887,0.000264016926950677,0.0565486111111094,0.800374273386322
HK2,hsa00010,3.33875,2.7755668852862,3.9019331147138,5.59263478857867e-14,1.19682384475584e-12,9.06534375,3.30165625,4.10916593236898e-41,3.55394642857143,1.84111991811788e-35
HK3,hsa00010,2.25940625,1.58852310787987,2.93028939212013,6.28064425678669e-08,3.53699439724303e-07,6.021859375,1.91369097222223,3.85290253302378e-11,-0.208545634920638,0.522991906574567
HKDC1,hsa00010,1.16521875,0.791195513490645,1.53924198650936,2.91994003239615e-07,1.24973433386555e-06,10.735078125,0.477159722222223,0.0769780128241544,0.976378472222221,0.00180235879833485
LDHA,hsa00010,0.630937499999999,0.254284987780394,1.0075900122196,0.00169671371799238,0.00302580613041974,14.21234375,0.517291666666667,0.00090845039275211,0.891666666666666,0.000143705599399382
LDHAL6A,hsa00010,-1.2523625,-1.7485360487857,-0.756188951214296,1.10815976938967e-05,2.85601791486769e-05,1.9581625,-0.97577951388888,0.00128367272837803,-0.59804290674604,0.0663474042259112
LDHAL6B,hsa00010,-0.24129375,-0.770750387363048,0.288162887363048,0.36116975941793,0.394338410793046,1.6299875,-0.278398958333334,0.138778814443924,-0.894171726190476,2.29563248477753e-05
LDHB,hsa00010,-0.3259375,-0.609604801262666,-0.042270198737334,0.0255474155911724,0.0350458136955827,15.28359375,-0.503611111111111,0.000221094028772303,0.693308531746031,0.00223952012076845
LDHC,hsa00010,-3.059153125,-3.59584821285214,-2.52245803714786,1.68651801869116e-13,3.00762379999924e-12,2.8678609375,-2.31510104166666,1.01395098118951e-08,-1.66477068452381,0.000162602940931022
MINPP1,hsa00010,-0.246156250000001,-0.476685495393558,-0.0156270046064441,0.0370677748666638,0.0489660729720127,9.690078125,-0.4996875,2.44572731386324e-06,0.652718749999999,3.20894726373856e-05
PCK1,hsa00010;hsa00020,-5.11184375,-6.23629700115537,-3.98739049884464,7.99725831339355e-11,7.13088866277592e-10,11.986015625,-4.77198263888889,1.70352989726762e-18,-3.27097371031746,2.56005266553999e-08
PCK2,hsa00010;hsa00020,-1.69303125,-2.3642945383757,-1.0217679616243,1.1210537609761e-05,2.85601791486769e-05,11.824546875,-2.00799652777778,5.01578947393244e-19,-0.170576884920635,0.497665215456088
PDHA1,hsa00010;hsa00020,-0.3425,-0.610396707340954,-0.0746032926590458,0.0137165877383425,0.0203843734444813,12.53125,-0.181666666666667,0.144962021918596,0.74797619047619,0.000132553315214614
PDHB,hsa00010;hsa00020,-0.602499999999999,-0.799610490200309,-0.405389509799689,4.18356159909108e-07,1.54358996931981e-06,11.509375,-0.443510416666666,2.05856759761734e-06,0.562114583333332,0.000691911600361605
PFKL,hsa00010;hsa00030,-0.641875000000001,-0.854268661388161,-0.429481338611841,5.17159199202902e-07,1.84453447715702e-06,13.46875,-0.676944444444444,4.26484879764118e-09,-0.484756944444445,0.000162602940931022
PFKM,hsa00010;hsa00030,-0.15209375,-0.459548212519973,0.155360712519973,0.322114941348873,0.355322667261128,12.201765625,-0.340493055555556,0.0178739127008603,0.934819444444445,5.13703271423381e-06
PFKP,hsa00010;hsa00030,0.8971875,0.484553022911264,1.30982197708874,9.30927255208537e-05,0.000203284114912885,12.48203125,0.977083333333333,1.96727271471193e-12,1.79298511904762,5.87218203096574e-18
PGAM1,hsa00010,0.355312499999998,0.117707498254241,0.592917501745756,0.00451051252980061,0.0075410131357604,13.59703125,0.179444444444445,0.126640339498835,1.09631944444444,3.0853301514155e-08
PGAM2,hsa00010,-5.17100625000001,-5.96277776291864,-4.37923473708137,3.44055704831639e-15,1.22713201389951e-13,5.304590625,-4.48175763888889,1.1307316397198e-29,-3.00005674603174,3.00642957065548e-13
PGAM4,hsa00010,-0.27318125,-0.673374245527233,0.127011745527234,0.174558385567084,0.200835991996538,2.287875,-0.525605208333332,0.0127768440188023,0.932717559523808,5.9976601475748e-05
PGK1,hsa00010,0.1721875,-0.0627557525608455,0.407130752560846,0.145733141916993,0.175207260506947,14.26578125,-0.0663541666666666,0.660707801553319,0.946190476190476,1.68810619421303e-05
PGM1,hsa00010;hsa00030,0.0537499999999986,-0.204406401162439,0.311906401162436,0.675089902915879,0.701306986524263,11.9521875,-0.059815972222222,0.660950676863023,1.12803224206349,6.81921433747785e-09
PGM2,hsa00010;hsa00030,-0.251718750000001,-0.524699577258192,0.02126207725819,0.0695810277367868,0.0903049682730317,9.644390625,-0.474444444444444,0.000192302164359731,0.0934126984126977,0.595814057965055
PKLR,hsa00010,-3.372759375,-4.76254498669318,-1.98297376330682,2.01070554624049e-05,4.88967030563028e-05,8.1563078125,-3.17180729166667,5.75600622601297e-08,-1.12801264880953,0.0689625702286543
PKM,hsa00010,0.819687499999998,0.512172914044732,1.12720208595526,4.64233291151661e-06,1.37980450425633e-05,15.76828125,0.807638888888889,5.9057635018085e-13,1.83893353174603,1.76270408139375e-17
TPI1,hsa00010,0.584375,0.407517879508066,0.761232120491934,9.23346957320398e-08,4.93990622166413e-07,14.5846875,0.486805555555556,1.28420900294436e-06,1.15001984126984,9.72675234606806e-09
DERA,hsa00030,0.00215625000000047,-0.246121043595989,0.25043354359599,0.986032143612105,0.986032143612105,10.884203125,0.0755972222222224,0.550859541934721,1.07582936507937,2.35359356368101e-09
G6PD,hsa00030,1.488875,1.01762688123803,1.96012311876198,2.23027260133666e-07,9.94329868095927e-07,11.1043125,1.04688541666667,1.93539289004057e-07,1.43836755952381,1.06232835708857e-08
GLYCTK,hsa00030,-1.3368125,-1.90927298796655,-0.764352012033455,3.51647603554666e-05,8.17556761252758e-05,9.71234375,-0.978895833333334,1.93579642356408e-05,-0.600324404761904,0.0263046993070112
H6PD,hsa00030,0.516875,0.273719949659186,0.760030050340814,0.000124578155719299,0.000261369856116961,11.8771875,0.213524305555557,0.0902475937388757,0.920095734126982,1.67586792565204e-06
IDNK,hsa00030,-1.73790625,-2.14939328760825,-1.32641921239175,4.11760968049191e-10,3.14703025580453e-09,8.415671875,-1.59920138888889,1.60680165185377e-24,-0.751790674603176,0.000107048209696254
PGD,hsa00030,0.217812499999999,-0.096946300165406,0.532571300165405,0.168868832129221,0.19640179388942,11.96390625,-0.00489583333333186,0.96476554430641,0.893675595238094,1.34620349160589e-06
PGLS,hsa00030,0.870343750000001,0.658549046313669,1.08213845368633,7.89387752952678e-10,5.27903059787104e-09,10.855453125,0.880614583333334,5.55756938117496e-12,0.974252976190474,1.49721219910344e-07
PRPS1,hsa00030,-0.00806250000000118,-0.208059822281516,0.191934822281513,0.935235380103466,0.944058355387461,10.3483125,-0.197687499999999,0.0475479748596692,0.360263392857143,0.00119513150669879
PRPS2,hsa00030,-0.8456875,-1.18222727962319,-0.509147720376809,1.18666238100665e-05,2.95285755273747e-05,10.82621875,-1.07207638888889,3.55583669245674e-15,0.761878968253969,3.25923054441765e-05
RBKS,hsa00030,-1.033125,-1.38615238731922,-0.680097612680784,9.3072998457295e-07,3.21251962417115e-06,9.82325,-0.708131944444444,1.19126831813035e-06,0.575609126984127,0.00271047961244565
RGN,hsa00030,-1.84625,-2.57622605299843,-1.11627394700157,1.0736612265206e-05,2.85601791486769e-05,9.698875,-1.54413194444444,2.15410661791173e-06,-0.716917658730158,0.0518999374526483
RPE,hsa00030,0.25678125,0.0747254905005549,0.438837009499446,0.0070397526893856,0.0109167179386125,10.531078125,0.174729166666667,0.0249316405700586,0.887952380952381,2.35359356368101e-09
RPEL1,hsa00030,0.198209375,-0.113672917024769,0.51009166702477,0.205425125203672,0.231373562071505,0.8817046875,0.0997020833333335,0.550293293844103,0.143266369047619,0.394390665072176
RPIA,hsa00030,-0.0455312500000002,-0.280991827968885,0.189929327968885,0.697000982103371,0.717106779664045,8.757609375,-0.0375277777777765,0.674090784625828,0.339240079365078,0.0156871981012266
SHPK,hsa00030,-0.370187500000001,-0.627369474939331,-0.11300552506067,0.00605687080098072,0.00967291307022293,10.0906875,-0.470756944444445,0.000128712989235948,0.336488591269841,0.0521664527159669
TALDO1,hsa00030,0.701250000000001,0.337594973408458,1.06490502659154,0.000400072645561126,0.000778323146818918,12.518125,0.67777777777778,8.83969460502677e-05,1.34706349206349,1.09561532525892e-08
TKT,hsa00030,1.5953125,1.30930637505041,1.88131862494959,3.07631730727456e-13,4.70237074111968e-12,13.04140625,1.26548611111111,1.07762443587222e-13,1.42245039682539,2.35359356368101e-09
TKTL1,hsa00030,-1.356240625,-1.93788078729939,-0.774600462700613,3.59113717559623e-05,8.17556761252758e-05,2.4248171875,-1.06372777777778,0.000137306666508104,-1.00086170634921,0.00121772110778716
TKTL2,hsa00030,-0.37974375,-0.662640349846659,-0.0968471501533417,0.00997179272280884,0.0152425974477221,0.604665625,-0.458531944444441,6.1981849637473e-05,-0.910708730158729,1.6981116314287e-11
ACLY,hsa00020,0.4453125,0.207910754560876,0.682714245439124,0.000542939275987295,0.0010374018309043,12.80765625,0.312395833333334,0.0156745491697185,1.5663244047619,6.26969283393044e-15
ACO1,hsa00020,-0.713437500000001,-1.11184486419365,-0.315030135806351,0.000884821432055445,0.00166098058298127,12.31546875,-1.16752777777778,2.796538013903e-14,0.259338293650793,0.201867354005253
ACO2,hsa00020,-0.705,-1.05357687126155,-0.356423128738445,0.000230120863299406,0.000464583629679933,13.6534375,-0.640763888888889,8.52430693526809e-06,0.894102182539683,3.90217835475254e-05
