gene_id,logFC_Paired,FDR_Paired,logFC_TCGA,FDR_TCGA,logFC_GTEx,FDR_GTEx,discordant,comparator_sensitive
ACLY,0.445525000000001,0.00143828452678824,0.398722569444445,4.44429505124166e-09,1.5659535218254,9.42558426920134e-15,FALSE,FALSE
ACO1,-0.713715625,0.00256500898036214,-0.994724362080102,8.71981526325649e-29,0.258280704365079,0.246806795611671,FALSE,FALSE
ACO2,-0.706603125,0.000747050490883907,-0.325822545219638,2.25012219046943e-05,0.892653174603175,5.6351331476683e-05,FALSE,TRUE
ACSS1,-1.101746875,6.33191652410405e-06,-0.916445276162792,1.72216452349214e-21,-0.441852529761903,0.0756982401862615,FALSE,FALSE
ACSS2,0.289871874999999,0.177142285105582,0.625740318152455,1.95522977832071e-11,1.1498339781746,9.74330255272283e-07,FALSE,FALSE
ADH1A,-1.80595625,5.95413893660563e-09,-1.87408477067183,1.16405698599656e-47,-1.12487787698413,2.69152203252535e-07,FALSE,FALSE
ADH1B,-4.943225,7.82850994689438e-11,-5.61236046511628,1.91774659003518e-73,-4.59619047619048,5.3030443111054e-15,FALSE,FALSE
ADH1C,-6.006278125,1.88686575574713e-15,-6.53731688468993,1.12293468633949e-118,-3.94627574404762,2.08834440955377e-18,FALSE,TRUE
ADH4,-2.91763125,3.07417069067379e-11,-2.91899162629198,7.59510133170235e-69,-3.07984201388889,1.06422649931159e-23,FALSE,FALSE
ADH5,-0.687215625,1.79652582856134e-06,-0.804818410852714,6.51238870544189e-39,0.703007142857143,0.000184984728938493,FALSE,FALSE
ADH6,-2.76628125,0.000184377950017296,-2.30886324289406,3.38702781713483e-16,-1.66902777777778,0.00109904635816973,FALSE,FALSE
ADH7,0.0760625000000004,0.746350367155006,0.182654869186046,0.0353246935301208,-0.525363541666665,0.00672115883729769,FALSE,FALSE
ADPGK,0.222215625,0.0288230666255044,0.227748328488371,1.59551299480398e-07,0.138096279761905,0.428731644546542,FALSE,FALSE
AKR1A1,-0.5848625,0.0132339896450859,-0.0351399063307498,0.719923181422421,0.623564384920637,0.00372067260512593,FALSE,FALSE
ALDH1B1,-0.821443749999999,0.00833927158839859,-0.825804061692509,1.79941652443265e-09,0.648991121031749,0.0360622895685337,FALSE,FALSE
ALDH2,-0.5512,0.0456168313868981,0.262193790374677,0.0164555853258076,1.29381006944444,1.98992492832563e-06,TRUE,TRUE
ALDH3A1,0.582359375,0.251745889079498,1.23396458333333,1.58468289263331e-13,1.32601458333334,0.000322017116196213,FALSE,FALSE
ALDH3A2,-0.702009375,0.000355035675483921,-0.604339591408269,1.91293393172593e-15,1.19713239087302,6.45961398963776e-09,FALSE,TRUE
ALDH3B1,1.0444625,0.00317668161619182,1.77251597222222,7.05064232498596e-40,1.88739811507937,4.19587051429194e-18,FALSE,FALSE
ALDH3B2,-5.186303125,8.50447840410845e-21,-4.76870627422481,1.24163283068314e-85,-3.63328913690477,1.26766792592342e-17,FALSE,TRUE
ALDH7A1,-0.949609375,4.87209198551379e-06,-0.940130838178295,2.15243179376544e-31,0.543061160714285,0.0079584811833905,FALSE,FALSE
ALDH9A1,-0.882890624999999,1.66973747961591e-08,-1.06551230620155,4.06486416528219e-50,0.368477976190477,0.0653598367462598,FALSE,FALSE
ALDOA,1.122028125,1.03278276014853e-06,1.03037224644703,5.5460274112902e-40,1.75965868055556,7.11402453976902e-14,FALSE,FALSE
ALDOB,-8.656721875,4.25806610449595e-13,-7.99769547803618,9.07331878872577e-76,-7.68149484126985,1.78922368465957e-27,FALSE,FALSE
ALDOC,-1.0785125,0.0148489035273118,-1.54458833171835,3.9768359064221e-15,-0.882639632936505,0.0406433112655266,FALSE,FALSE
BPGM,-0.205371875,0.150043299000827,-0.175410037144702,0.00190098268932493,0.777810367063492,4.60793964351261e-06,FALSE,FALSE
CS,0.255190625000001,0.0434457079057183,0.0161525032299736,0.780999550015069,0.871449900793653,4.08836292219937e-06,FALSE,FALSE
DERA,0.00251874999999922,0.989395560579788,0.0313650920542637,0.637641773398324,1.07585282738095,2.83869963117076e-09,FALSE,FALSE
DLAT,-0.397965624999999,0.0118168502957261,-0.667207412790698,2.06077450092082e-25,0.579342559523809,0.00170921074979955,FALSE,FALSE
DLD,-0.0608499999999993,0.725911314747949,-0.209720849483204,0.00203415746986362,1.0908814484127,9.44884174767014e-08,FALSE,FALSE
DLST,-0.412612499999999,0.000356964591591774,-0.537584108527133,3.55136816464039e-21,0.289404761904764,0.142677204901866,FALSE,FALSE
ENO1,0.339434375000001,0.0513726771947284,0.28426813630491,5.3260599202107e-06,1.57843878968254,1.04669168277647e-12,FALSE,FALSE
ENO2,2.27586875,1.38003263822404e-06,2.00349411337209,9.65714353267071e-49,1.56416681547619,6.37301441695218e-09,FALSE,FALSE
ENO3,0.0999187499999991,0.775204848710105,0.787758874354006,2.24521933156181e-09,-0.58460679563492,0.0579777115417817,FALSE,FALSE
ENO4,-0.30554375,0.296531853090829,-0.0988098917958652,0.320350526213463,1.51869816468254,2.48970574627231e-11,FALSE,TRUE
FBP1,-3.068315625,1.08787703499912e-08,-2.10005562015504,2.67420621642486e-39,-0.66042142857143,0.0437422505166916,FALSE,TRUE
