gene_symbol,regulation,logFC,degree,betweenness,x,y,z,size
ACSS1,Down,-1.102,9,0,16.9640486960924,-20.0017802374089,2.27994657261791,7.04255319148936
ACSS2,NS,0.29,3,0,13.8563055025307,-22.9141729533433,3.15279953624019,5.51063829787234
ADH1A,Down,-1.806,2,0,9.18901045129615,-14.0443217570576,11.8620188748954,5.25531914893617
ADH1B,Down,-4.943,5,0.0413,10.6475410908359,-14.5990802598053,10.1624311259294,6.02127659574468
ADH1C,Down,-6.006,7,0.0057,11.0126850452762,-15.6313415637458,10.4592575720532,6.53191489361702
ADH4,Down,-2.918,4,0,11.2942769447932,-14.4509707255641,9.67498195760153,5.76595744680851
ADH5,NS,-0.687,43,0.0141,17.2118542291182,-19.6608327758869,4.6733563570965,15.7234042553192
ADH6,Down,-2.766,8,0.0095,14.7369287834874,-16.0471486184883,5.67312091202741,6.78723404255319
ADPGK,NS,0.222,4,0.0049,18.6807740612745,-24.6715511533787,6.75439496470955,5.76595744680851
AKR1A1,NS,-0.585,21,0.0273,15.4155150875373,-18.562761586511,4.59046475225538,10.1063829787234
ALDH1B1,NS,-0.821,18,0.004,16.609907501322,-18.1172756455507,4.36612676874585,9.34042553191489
ALDH2,NS,-0.551,18,0.004,15.2116045650462,-20.7169693367682,3.81213072222081,9.34042553191489
ALDH3A2,NS,-0.702,30,0.0275,16.1889544302853,-19.7704414653021,4.24379892327661,12.4042553191489
ALDH3B2,Down,-5.186,3,0,9.99313802154773,-13.670213365914,11.1443509864264,5.51063829787234
ALDH7A1,NS,-0.95,31,0.0126,17.1471906191525,-18.9894302814495,4.57817159547593,12.6595744680851
ALDH9A1,NS,-0.883,34,0.029,17.5449348717721,-19.0229995755575,4.11404332774388,13.4255319148936
ALDOA,Up,1.122,24,0.0135,16.0537724468868,-22.4608130872357,6.02042483269135,10.8723404255319
ALDOB,Down,-8.657,12,0.1311,13.4675198122407,-16.7270337691745,7.42719458636039,7.80851063829787
BPGM,NS,-0.205,14,0,17.8898441465684,-21.5781406056693,3.36246155556596,8.31914893617021
DLAT,NS,-0.398,36,0.0017,17.7848683397561,-20.2765487520457,4.24255658149408,13.936170212766
DLD,NS,-0.061,35,0.0069,16.9368311415874,-20.9660437415564,4.02354703932617,13.6808510638298
ENO1,NS,0.339,29,0.0146,16.9182192172739,-22.0271633383886,5.91006885247612,12.1489361702128
ENO2,Up,2.276,6,0.0427,14.4098855524764,-20.6072015488072,8.16186729196171,6.27659574468085
FBP1,Down,-3.068,12,0.0072,14.7798842872404,-17.4453984212583,5.05792432223661,7.80851063829787
G6PC3,NS,0.576,15,0.0066,15.7123332875042,-23.2463546308818,6.04968748638252,8.57446808510638
GALM,Down,-1.077,29,0.025,15.9929651606163,-18.6445325159293,4.58844636136933,12.1489361702128
GAPDH,Up,1.102,25,0.0338,16.4145853056026,-22.6949592208884,6.22582297525909,11.1276595744681
GPI,NS,0.494,32,0.0281,16.5802646385977,-22.0644228113175,5.22665584486025,12.9148936170213
HK2,Up,3.339,5,0.0318,12.6533923611644,-18.4941530373212,9.66744290743706,6.02127659574468
LDHA,NS,0.631,11,0,17.1211196491652,-22.4482483258054,7.16469944593059,7.5531914893617
LDHB,NS,-0.327,41,0.012,16.9748015691414,-20.5253237845822,4.51745726241732,15.2127659574468
MINPP1,NS,-0.246,18,0.0026,18.4515054889247,-19.5591857380572,4.89017007946613,9.34042553191489
PCK1,Down,-5.112,9,0.0014,14.1844873891458,-16.6098482694849,5.45209484330407,7.04255319148936
PCK2,Down,-1.693,19,0.0037,15.9338932385347,-17.6022833664014,5.17738459449341,9.59574468085106
PDHA1,NS,-0.341,37,0.0135,16.5796800262186,-21.0988301838319,4.07298065334982,14.1914893617021
PDHB,NS,-0.603,40,0.0166,17.4872573207802,-20.6119324386401,4.58638269392247,14.9574468085106
PFKM,NS,-0.153,32,0.0092,17.1934425347816,-20.7543735780651,3.77614537906611,12.9148936170213
PFKP,NS,0.898,11,0.0273,15.3976542185023,-21.7371131758348,7.50930360915913,7.5531914893617
PGAM1,NS,0.355,35,0.0092,17.0945011424592,-21.3141949585666,5.49907596128918,13.6808510638298
PGAM2,Down,-5.171,2,0,10.6341299364462,-17.032372846872,11.8491463996665,5.25531914893617
PGK1,NS,0.173,38,0.0224,17.4972245923575,-20.9178171990581,5.30321100221428,14.4468085106383
PGM1,NS,0.053,28,0.0077,17.444368073397,-21.5168149096408,4.80713641520283,11.8936170212766
PGM2,NS,-0.251,11,3e-04,19.123492492741,-19.4856003789557,4.21222549549763,7.5531914893617
PKLR,Down,-3.372,12,0.0037,14.7303902679576,-16.5444103508031,4.97690173221969,7.80851063829787
PKM,NS,0.819,24,0.0516,16.7886739086892,-22.7013011308074,6.49672370800142,10.8723404255319
TPI1,NS,0.584,32,0.0175,16.5182850688956,-21.9809016627239,5.57363337216721,12.9148936170213
ACLY,NS,0.446,9,0.0011,17.9764685914673,-22.9896259171049,7.01275539348212,7.04255319148936
ACO1,NS,-0.714,30,0.0046,16.7398462081963,-18.8582046735034,4.42573567486406,12.4042553191489
ACO2,NS,-0.707,43,0.004,16.4192063552266,-20.1992725036241,4.60696732226287,15.7234042553192
CS,NS,0.255,38,0.0132,17.0862950637552,-21.226403192211,4.72681272865288,14.4468085106383
DLST,NS,-0.413,42,0.0318,17.2587324749262,-20.3252698861106,4.56773743923177,15.468085106383
FH,NS,-0.507,40,0.025,16.4933106379373,-20.3703997442389,4.07322530821964,14.9574468085106
IDH1,NS,-0.388,14,3e-04,17.3384513490737,-17.9668721856855,4.72713611801101,8.31914893617021
IDH2,Down,-1.421,25,0.0046,17.2535604596285,-19.5078886032036,3.38384952888122,11.1276595744681
IDH3A,NS,-0.169,28,0.0049,17.6218243407042,-20.9693976087403,3.92392164750022,11.8936170212766
IDH3B,NS,0.087,31,0.0209,16.169080416686,-21.8448857489468,4.61335033774859,12.6595744680851
IDH3G,NS,-0.182,24,0.0258,15.6250350039298,-21.6831460229823,4.81260747874212,10.8723404255319
MDH1,NS,-0.336,44,0.0052,16.8516281874741,-20.2522407665453,4.93663593593282,15.9787234042553
MDH2,NS,0.119,39,0.0132,16.6154807470976,-21.3419155664692,4.7834524381028,14.7021276595745
OGDH,NS,-0.484,39,0.0037,16.7332021124023,-20.437725737899,3.79489336154453,14.7021276595745
OGDHL,NS,-0.961,10,0.0034,15.2834896335674,-19.9420775514811,2.8613880407294,7.29787234042553
PC,Down,-1.391,21,0.0769,15.776723150504,-18.1006650875691,5.25567362774043,10.1063829787234
SDHA,NS,-0.277,41,0.0221,16.5822826852457,-20.926322244888,4.57011401794962,15.2127659574468
SDHB,NS,-0.828,43,0.0267,16.5693488515898,-19.6391487152205,4.57607972674591,15.7234042553192
SDHC,NS,-0.531,48,0.0166,17.090297574811,-19.9321777901455,4.76165445997931,17
SDHD,NS,-0.933,37,0.0072,17.310712230195,-19.7600780751594,3.87878293097313,14.1914893617021
SUCLA2,NS,-0.772,32,6e-04,17.7837077082599,-20.0128753315434,3.9464208971858,12.9148936170213
SUCLG1,NS,-0.977,42,0.0267,16.3032158542165,-19.3991032368975,4.167827588284,15.468085106383
SUCLG2,NS,-0.897,37,0.0092,17.1764104415061,-19.3999257153848,4.22700503625806,14.1914893617021
DERA,NS,0.003,31,0.0247,16.4063397027758,-20.5761396831672,5.27545067495255,12.6595744680851
G6PD,Up,1.489,8,9e-04,15.8824088541137,-24.6295227031645,6.6801238312014,6.78723404255319
GLYCTK,Down,-1.337,3,0,13.9091174059432,-15.102122829629,4.42648026826452,5.51063829787234
H6PD,NS,0.517,3,0,17.9238496462238,-24.2839164934273,8.31006498016023,5.51063829787234
IDNK,Down,-1.738,22,0.0324,15.6920396229281,-17.9844049535173,4.6810223544355,10.3617021276596
PGD,NS,0.219,22,0.0192,17.0774547720173,-22.4693220473766,5.43360407641161,10.3617021276596
PGLS,NS,0.871,10,0.0026,15.3741838734868,-23.8821537867635,5.56577530908964,7.29787234042553
PRPS1,NS,-0.009,1,0,20.3781976539948,-16.2861251868117,2.02987996046569,5
PRPS2,NS,-0.846,12,0.0011,18.7541597746551,-18.9893475789942,3.64280262555486,7.80851063829787
RBKS,Down,-1.033,7,0,17.4664533553912,-19.1112145634199,6.29439598440945,6.53191489361702
RGN,Down,-1.846,6,0.0034,14.1748928949962,-17.2262208651625,3.49610899767816,6.27659574468085
RPE,NS,0.257,29,0.0734,17.8123651776392,-21.945452918349,5.39849463330131,12.1489361702128
