gene_symbol,regulation,logFC,degree,betweenness,x,y,z,size
ACSS1,Down,-1.101746875,1,0,11.6871812028449,-14.3437252194703,12.3220386154294,5
ADH5,NS,-0.687215625,9,0.0726,4.19346274217529,4.8842399081388,-2.34073309512178,12.3840473809707
ADH6,Down,-2.76628125,6,0.0305,-2.62839714466828,9.50577576994633,-0.197005345912885,9.61502961310669
AKR1A1,NS,-0.5848625,9,0.037,-2.73685970403509,9.83508852516422,0.768642670721293,12.3840473809707
ALDH1B1,NS,-0.821443749999999,4,0.0784,2.67935576069753,6.24309260902993,-0.929551816805102,7.76901776786401
ALDH2,NS,-0.5512,3,0.0116,-0.670104023701072,9.78045679641214,-3.7954620982975,6.84601184524267
ALDH7A1,NS,-0.949609375,3,0,3.29624438058899,4.41666380260075,-0.276247975348034,6.84601184524267
ALDH9A1,NS,-0.882890624999999,9,0.3919,4.67691831048896,3.85852040249007,-1.23088183334303,12.3840473809707
ALDOA,Up,1.122028125,6,0.1756,13.999998589389,-11.0632402075283,8.10837245676389,9.61502961310669
ALDOB,Down,-8.656721875,7,0.0029,-1.57270854011413,9.78039836831943,0.475946093525429,10.538035535728
DLAT,NS,-0.397965624999999,8,0.0421,6.6632727963003,4.89397031734484,-5.5971841393678,11.4610414583494
DLD,NS,-0.0608499999999993,8,0.0065,4.88773998740083,5.35643832294956,-6.02012169665243,11.4610414583494
ENO1,NS,0.339434375000001,3,0,15.1966750172514,-11.9606404438659,8.49235937672536,6.84601184524267
FBP1,Down,-3.068315625,2,0,-4.87719872156615,10.99100420696,2.11147887020132,5.92300592262134
GALM,Down,-1.077396875,7,0.0356,-2.3086804122055,9.17693128579336,0.846164831255199,10.538035535728
GAPDH,Up,1.101528125,2,0,15.1303957331668,-11.2724696317697,7.16299334377072,5.92300592262134
GPI,NS,0.494090625,3,0.074,12.3231117026802,-10.8387775836536,8.74115903223724,6.84601184524267
LDHA,NS,0.6309625,2,0.0377,17.867398736153,-15.3073759537161,10.3288845539263,5.92300592262134
LDHB,NS,-0.326565625,5,0.0058,6.73771104260897,6.96113679236898,-3.90639061802292,8.69202369048535
PCK1,Down,-5.111653125,3,0,-1.56444519066637,10.990307198965,0.739574167752732,6.84601184524267
PCK2,Down,-1.69298125,10,0.2192,-0.147679508191721,8.22930202361231,-0.396553405946668,13.307053303592
PDHA1,NS,-0.341374999999999,6,0.0022,5.78967722874737,7.23359869782918,-4.46461727040395,9.61502961310669
PDHB,NS,-0.602825,1,0,5.23280505104114,1.4959477021681,-5.48003826118413,5
PFKM,NS,-0.153321875,7,0.0065,6.95650402245303,5.90943891133212,-4.81068583613728,10.538035535728
PFKP,NS,0.898175000000002,1,0,19.1766578788787,-16.8294625943347,11.1380604925842,5
PGAM1,NS,0.354574999999998,4,0.3142,12.0291057438167,-8.4565651316127,6.6431793205623,7.76901776786401
PGK1,NS,0.172909375000001,2,0.3353,9.80910792042902,-4.77245104666298,4.31560240464945,5.92300592262134
PKLR,Down,-3.371975,9,0.0218,-1.84323814940733,9.91150684424968,-0.640064298994175,12.3840473809707
PKM,NS,0.81938125,3,0.074,16.0661016858478,-13.241016639841,9.23572514071333,6.84601184524267
TPI1,NS,0.583921874999999,4,0,14.0188105726158,-10.3523571416488,7.35357670638717,7.76901776786401
GLYCTK,Down,-1.3371875,3,0,-3.740242277526,10.7399613703658,-0.24260049102436,6.84601184524267
