gene_id,standard_DEG,treat_DEG
PRR35,TRUE,TRUE
SLC9A4,TRUE,TRUE
FXYD4,TRUE,TRUE
RP11-734K21.5,TRUE,TRUE
KNG1,TRUE,TRUE
PIK3C2G,TRUE,TRUE
CLDN8,TRUE,TRUE
HRG,TRUE,TRUE
CTD-2008P7.9,TRUE,TRUE
UMOD,TRUE,TRUE
KCNJ10,TRUE,TRUE
HEPACAM2,TRUE,TRUE
RP13-452N2.1,TRUE,TRUE
CTD-2626G11.2,TRUE,TRUE
RP11-386B13.4,TRUE,TRUE
RP5-952N6.1,TRUE,TRUE
DUSP9,TRUE,TRUE
AQP2,TRUE,TRUE
LINC00982,TRUE,TRUE
ALDH3B2,TRUE,TRUE
BSND,TRUE,TRUE
AC124944.5,TRUE,TRUE
KCNJ1,TRUE,TRUE
SCNN1G,TRUE,TRUE
SLC4A9,TRUE,TRUE
MUC15,TRUE,TRUE
F11-AS1,TRUE,TRUE
SCNN1B,TRUE,TRUE
EMCN,TRUE,TRUE
RP4-655J12.4,TRUE,TRUE
C1orf64,TRUE,TRUE
SLC12A3,TRUE,TRUE
RP5-1018K9.1,TRUE,TRUE
SLC4A1,TRUE,TRUE
ATP6V1G3,TRUE,TRUE
RALYL,TRUE,TRUE
MFSD6L,TRUE,TRUE
SEMA3G,TRUE,TRUE
TFAP2B,TRUE,TRUE
F11,TRUE,TRUE
RP3-333A15.2,TRUE,TRUE
TEK,TRUE,TRUE
LINC00675,TRUE,TRUE
SLC12A1,TRUE,TRUE
RP11-573D15.8,TRUE,TRUE
ATP12A,TRUE,TRUE
GRHL2,TRUE,TRUE
RP4-568C11.4,TRUE,TRUE
ESRRB,TRUE,TRUE
APCDD1L-AS1,TRUE,TRUE
RP11-690G19.4,TRUE,TRUE
CA4,TRUE,TRUE
RP11-320H14.1,TRUE,TRUE
LINC00885,TRUE,TRUE
SFRP1,TRUE,TRUE
IRX1,TRUE,TRUE
FRMD7,TRUE,TRUE
RP4-737E23.2,TRUE,TRUE
NELL1,TRUE,TRUE
HSD11B2,TRUE,TRUE
RP11-531H8.2,TRUE,TRUE
LINC01187,TRUE,TRUE
CLCNKA,TRUE,TRUE
LINC00551,TRUE,TRUE
CTD-2342N23.1,TRUE,TRUE
RP11-61L19.2,TRUE,TRUE
WNT9B,TRUE,TRUE
RP11-317M11.1,TRUE,TRUE
GP2,TRUE,TRUE
FOXI1,TRUE,TRUE
RP13-895J2.6,TRUE,TRUE
ACPP,TRUE,TRUE
DACH2,TRUE,TRUE
BRINP3,TRUE,TRUE
ATP1B2,TRUE,TRUE
ODAM,TRUE,TRUE
MT1H,TRUE,TRUE
MTURN,TRUE,TRUE
PTGER1,TRUE,TRUE
NHLRC4,TRUE,TRUE
TMEM52B,TRUE,TRUE
TPPP2,TRUE,TRUE
FBN3,TRUE,TRUE
CRHBP,TRUE,TRUE
RP11-16D22.2,TRUE,TRUE
TMEM178A,TRUE,TRUE
GGT6,TRUE,TRUE
HMGCS2,TRUE,TRUE
TMEM207,TRUE,TRUE
PTPRB,TRUE,TRUE
